YL1	BIv3	RR1.27	RR1.41
FG1G38510	FGSG_02585	FGRRES_02585	FGRAMPH1_01T06205
FG1G38790	FGSG_02602	FGRRES_02602	FGRAMPH1_01T06247
FG1G38860	FGSG_02608	FGRRES_02608	FGRAMPH1_01T06261
FG1G39480	FGSG_02650	FGRRES_02650	FGRAMPH1_01T06359
FG1G40420	FGSG_12183	FGRRES_12183	FGRAMPH1_01T06513
FG1G41280	FGSG_02760	FGRRES_02760	FGRAMPH1_01T06625
FG1G41630	FGSG_11633	FGRRES_11633	FGRAMPH1_01T06681
FG1G42200	FGSG_09889	FGRRES_09889	FGRAMPH1_01T06771
FG1G42260	FGSG_09893	FGRRES_09893	FGRAMPH1_01T06779
FG1G42270	FGSG_09894	FGRRES_09894	FGRAMPH1_01T06781
FG1G42280	FGSG_09895	FGRRES_09895	FGRAMPH1_01T06783
FG1G42400	FGSG_09904	FGRRES_09904	FGRAMPH1_01T06803
FG1G43260	FGSG_09965	FGRRES_09965	FGRAMPH1_01T06941
FG1G44100	FGSG_10007	FGRRES_10007	FGRAMPH1_01T07059
FG1G44450	FGSG_10026	FGRRES_10026	FGRAMPH1_01T07103
FG1G45030	FGSG_10063	FGRRES_10063	FGRAMPH1_01T07195
FG1G45620	FGSG_10104	FGRRES_10104	FGRAMPH1_01T07291
FG1G47600	FGSG_10228	FGRRES_17728	FGRAMPH1_01T07591
FG1G48260	FGSG_10271	FGRRES_10271	FGRAMPH1_01T07695
FG1G49590	FGSG_10360	FGRRES_10360	FGRAMPH1_01T07915
FG1G49740	FGSG_10373	FGRRES_10373	FGRAMPH1_01T07941
FG1G51430	FGSG_10489	FGRRES_10489	FGRAMPH1_01T08229
FG1G52140	FGSG_10528	FGRRES_10528	FGRAMPH1_01T08337
FG1G02850	FGSG_11703	FGRRES_11703	FGRAMPH1_01T00517
FG1G04140	FGSG_00280	FGRRES_00280_M	FGRAMPH1_01T00753
FG1G04270	FGSG_00285	FGRRES_00285	FGRAMPH1_01T00769
FG1G04420	FGSG_00297	FGRRES_00297	FGRAMPH1_01T00795
FG1G04470	FGSG_00301	FGRRES_00301	FGRAMPH1_01T00805
FG1G05030	FGSG_00339	FGRRES_00339	FGRAMPH1_01T00893
FG1G05350	FGSG_00358	FGRRES_00358	FGRAMPH1_01T00945
FG1G05630	FGSG_00380	FGRRES_00380	FGRAMPH1_01T00999
FG1G06610	FGSG_00441	FGRRES_00441	FGRAMPH1_01T01145
FG1G06860	FGSG_00460	FGRRES_00460	FGRAMPH1_01T01185
FG1G07140	FGSG_00477	FGRRES_00477	FGRAMPH1_01T01227
FG1G07770	FGSG_00521	FGRRES_00521	FGRAMPH1_01T01329
FG1G08110	FGSG_00543	FGRRES_00543	FGRAMPH1_01T01385
FG1G09010	FGSG_11791,FGSG_11792	FGRRES_15757	FGRAMPH1_01T01535
FG1G09140	FGSG_00614	FGRRES_00614_M	FGRAMPH1_01T01561
FG1G10380	FGSG_11810	FGRRES_11810	FGRAMPH1_01T01757
FG1G11330	FGSG_00741	FGRRES_00741	FGRAMPH1_01T01875
FG1G11400	FGSG_00748	FGRRES_00748	FGRAMPH1_01T01889
FG1G11840	FGSG_00780	FGRRES_00780	FGRAMPH1_01T01959
FG1G11970	FGSG_00787	FGRRES_00787	FGRAMPH1_01T01975
FG1G13020	FGSG_00857	FGRRES_00857	FGRAMPH1_01T02145
FG1G13180	FGSG_00864	FGRRES_00864	FGRAMPH1_01T02167
FG1G16060	FGSG_01050	FGRRES_01050	FGRAMPH1_01T02629
FG1G17010	FGSG_01122	FGRRES_01122	FGRAMPH1_01T02795
FG1G17230	FGSG_01142	FGRRES_01142	FGRAMPH1_01T02835
FG1G17310	FGSG_01146	FGRRES_01146	FGRAMPH1_01T02845
FG1G19410	FGSG_01275	FGRRES_15839	FGRAMPH1_01T03159
FG1G20940	FGSG_11939	FGRRES_01364	FGRAMPH1_01T03365
FG1G22250	FGSG_01444	FGRRES_01444	FGRAMPH1_01T03555
FG1G23370	FGSG_01533	FGRRES_01533	FGRAMPH1_01T03743
FG1G24550	FGSG_11978	FGRRES_11978	FGRAMPH1_01T03921
FG1G25350	FGSG_01657	FGRRES_01657	FGRAMPH1_01T04039
FG1G26990	FGSG_01778	FGRRES_01778	FGRAMPH1_01T04321
FG1G28110	FGSG_01854	FGRRES_01854	FGRAMPH1_01T04491
FG1G28190	FGSG_01859	FGRRES_01859	FGRAMPH1_01T04503
FG1G28390	FGSG_12026	FGRRES_12026_M	FGRAMPH1_01T04533
FG1G28460	FGSG_01875	FGRRES_01875	FGRAMPH1_01T04541
FG1G28610	FGSG_01882	FGRRES_15903	FGRAMPH1_01T04553
FG1G28630	FGSG_01883	FGRRES_15904	FGRAMPH1_01T04555
FG1G29070	FGSG_01915	FGRRES_01915	FGRAMPH1_01T04623
FG1G29650	FGSG_01954	FGRRES_01954	FGRAMPH1_01T04717
FG1G30010	FGSG_01975	FGRRES_01975	FGRAMPH1_01T04771
FG1G30540	FGSG_02009	FGRRES_02009	FGRAMPH1_01T04851
FG1G31050	FGSG_02043	FGRRES_02043	FGRAMPH1_01T04933
FG1G31180	FGSG_02050	FGRRES_02050	FGRAMPH1_01T04947
FG1G31760	FGSG_02090	FGRRES_02090	FGRAMPH1_01T05041
FG1G32670	FGSG_12076	FGRRES_15942_12076_M	FGRAMPH1_01T05195
FG1G33130	FGSG_02193	FGRRES_02193	FGRAMPH1_01T05283
FG1G36520	FGSG_12138,FGSG_12139	FGRRES_15999_M	FGRAMPH1_01T05891
FG1G36780	FGSG_02472	FGRRES_02472	FGRAMPH1_01T05935
FG1G37320	FGSG_02507	FGRRES_02507_M	FGRAMPH1_01T06017
FG1G38120	FGSG_02563	FGRRES_02563	FGRAMPH1_01T06145
FG1G38320	FGSG_02575	FGRRES_02575	FGRAMPH1_01T06169
FG1G38400	FGSG_02581	FGRRES_16017	FGRAMPH1_01T06183
FG1G38740		FGRRES_20078	FGRAMPH1_01T06237
FG1G38980	FGSG_02618	FGRRES_02618	FGRAMPH1_01T06281
FG1G39430	FGSG_02646	FGRRES_02646	FGRAMPH1_01T06349
FG1G40680	FGSG_02730	FGRRES_02730	FGRAMPH1_01T06555
FG1G40860	FGSG_02738	FGRRES_02738	FGRAMPH1_01T06575
FG1G41400	FGSG_02771	FGRRES_02771	FGRAMPH1_01T06649
FG1G42100	FGSG_09885	FGRRES_09885	FGRAMPH1_01T06761
FG1G42250	FGSG_09892	FGRRES_09892	FGRAMPH1_01T06777
FG1G43150	FGSG_09957	FGRRES_09957	FGRAMPH1_01T06921
FG1G43420	FGSG_09976	FGRRES_09976	FGRAMPH1_01T06967
FG1G43890	FGSG_09996	FGRRES_09996	FGRAMPH1_01T07027
FG1G44340	FGSG_10018	FGRRES_10018	FGRAMPH1_01T07087
FG1G44690	FGSG_10041	FGRRES_10041	FGRAMPH1_01T07141
FG1G45350	FGSG_10087	FGRRES_10087	FGRAMPH1_01T07249
FG1G46250	FGSG_10142	FGRRES_10142	FGRAMPH1_01T07385
FG1G46710	FGSG_10172	FGRRES_10172	FGRAMPH1_01T07453
FG1G47550	FGSG_10226	FGRRES_10226	FGRAMPH1_01T07585
FG1G47620	FGSG_10230	FGRRES_10230	FGRAMPH1_01T07595
FG1G47650	FGSG_10232	FGRRES_10232	FGRAMPH1_01T07601
FG1G47840	FGSG_10244	FGRRES_10244	FGRAMPH1_01T07631
FG1G48730	FGSG_10304	FGRRES_10304	FGRAMPH1_01T07777
FG1G49000	FGSG_10324	FGRRES_10324	FGRAMPH1_01T07821
FG1G49280	FGSG_10343	FGRRES_10343	FGRAMPH1_01T07871
FG1G49610	FGSG_10361	FGRRES_10361	FGRAMPH1_01T07917
FG1G50480	FGSG_10419	FGRRES_10419	FGRAMPH1_01T08061
FG1G52080	FGSG_10524	FGRRES_10524	FGRAMPH1_01T08327
FG2G04920	FGSG_08327	FGRRES_17708_M	FGRAMPH1_01T09671
FG2G05050	FGSG_08338	FGRRES_08338	FGRAMPH1_01T09693
FG2G05340	FGSG_08356	FGRRES_17053	FGRAMPH1_01T09747
FG2G05630	FGSG_08372	FGRRES_08372	FGRAMPH1_01T09797
FG2G05800	FGSG_08384	FGRRES_08384	FGRAMPH1_01T09827
FG2G05890	FGSG_08392	FGRRES_08392	FGRAMPH1_01T09841
FG2G06540	FGSG_08431	FGRRES_08431	FGRAMPH1_01T09941
FG2G07130	FGSG_08462	FGRRES_08462	FGRAMPH1_01T10021
FG2G07580	FGSG_08487	FGRRES_08487_M	FGRAMPH1_01T10085
FG2G07780	FGSG_08501	FGRRES_08501	FGRAMPH1_01T10115
FG2G09260	FGSG_08591	FGRRES_08591_M	FGRAMPH1_01T10331
FG2G09700	FGSG_08617	FGRRES_08617	FGRAMPH1_01T10397
FG2G09950	FGSG_08631	FGRRES_17001	FGRAMPH1_01T10431
FG2G11030	FGSG_08691	FGRRES_08691	FGRAMPH1_01T10579
FG2G11310	FGSG_08704	FGRRES_16987	FGRAMPH1_01T10613
FG2G12110	FGSG_08751	FGRRES_16977	FGRAMPH1_01T10735
FG2G12300	FGSG_08764	FGRRES_08764	FGRAMPH1_01T10767
FG2G12720	FGSG_08782	FGRRES_08782_M	FGRAMPH1_01T10807
FG2G15680	FGSG_11590	FGRRES_11590	FGRAMPH1_01T11273
FG2G16330	FGSG_02812	FGRRES_02812	FGRAMPH1_01T11371
FG2G22950	FGSG_03297	FGRRES_03297	FGRAMPH1_01T12529
FG2G32220	FGSG_03991	FGRRES_03991	FGRAMPH1_01T14201
FG2G32810	FGSG_04032	FGRRES_04032	FGRAMPH1_01T14297
FG2G33510	FGSG_04069	FGRRES_16157	FGRAMPH1_01T14395
FG2G33840	FGSG_04086	FGRRES_04086	FGRAMPH1_01T14451
FG2G34420	FGSG_04118	FGRRES_16146	FGRAMPH1_01T14533,FGRAMPH1_01T14535
FG2G34700	FGSG_04135	FGRRES_04135	FGRAMPH1_01T14575
FG2G35250	FGSG_04178	FGRRES_04178	FGRAMPH1_01T14669
FG2G35560	FGSG_04203	FGRRES_04203_M	FGRAMPH1_01T14721
FG2G35830	FGSG_04220	FGRRES_04220	FGRAMPH1_01T14767
FG2G35970	FGSG_04230	FGRRES_04230	FGRAMPH1_01T14795
FG2G37470	FGSG_12272	FGRRES_16123_4_M	FGRAMPH1_01T15045
FG2G39450	FGSG_04462	FGRRES_04462	FGRAMPH1_01T15361
FG2G39750	FGSG_04481	FGRRES_04481	FGRAMPH1_01T15407
FG2G04460	FGSG_13397	FGRRES_13397	FGRAMPH1_01T09599
FG2G04560	FGSG_08307	FGRRES_08307	FGRAMPH1_01T09619
FG2G05020	FGSG_08337	FGRRES_08337	FGRAMPH1_01T09691
FG2G05640	FGSG_08373	FGRRES_17046	FGRAMPH1_01T09799
FG2G05860	FGSG_08390	FGRRES_08390	FGRAMPH1_01T09837
FG2G07340	FGSG_08468	FGRRES_08468	FGRAMPH1_01T10041
FG2G08570	FGSG_08547	FGRRES_08547_M	FGRAMPH1_01T10227
FG2G09730	FGSG_08619	FGRRES_08619	FGRAMPH1_01T10403
FG2G09860	FGSG_08627	FGRRES_08627	FGRAMPH1_01T10423
FG2G10030	FGSG_08635	FGRRES_08635	FGRAMPH1_01T10441
FG2G10430	FGSG_08659	FGRRES_08659	FGRAMPH1_01T10501
FG2G10630	FGSG_08667	FGRRES_08667	FGRAMPH1_01T10521
FG2G10900	FGSG_08682	FGRRES_08682	FGRAMPH1_01T10559
FG2G11380	FGSG_08708	FGRRES_08708	FGRAMPH1_01T10625
FG2G11660	FGSG_08726	FGRRES_08726	FGRAMPH1_01T10671
FG2G11690	FGSG_08728	FGRRES_08728	FGRAMPH1_01T10675
FG2G13010	FGSG_08796	FGRRES_16968	FGRAMPH1_01T10843
FG2G13430	FGSG_08818	FGRRES_08818	FGRAMPH1_01T10901
FG2G13440	FGSG_08819	FGRRES_08819	FGRAMPH1_01T10903
FG2G14420	FGSG_08881	FGRRES_08881_M	FGRAMPH1_01T11073
FG2G14680	FGSG_08899	FGRRES_16948	FGRAMPH1_01T11119
FG2G15010	FGSG_08915	FGRRES_16945_M	FGRAMPH1_01T11169
FG2G18580	FGSG_12542	FGRRES_12542	FGRAMPH1_01T11739
FG2G20420	FGSG_12508	FGRRES_12508	FGRAMPH1_01T12073
FG2G20430	FGSG_12507	FGRRES_12507	FGRAMPH1_01T12075
FG2G28940	FGSG_03748	FGRRES_03748	FGRAMPH1_01T13609
FG2G32320	FGSG_03996	FGRRES_03996	FGRAMPH1_01T14215
FG2G32980	FGSG_04043	FGRRES_04043	FGRAMPH1_01T14325
FG2G33500	FGSG_04070	FGRRES_04070	FGRAMPH1_01T14397
FG2G33600		FGRRES_16156	FGRAMPH1_01T14413
FG2G33610	FGSG_12313,FGSG_12314	FGRRES_16155	FGRAMPH1_01T14415
FG2G34310	FGSG_04110	FGRRES_04110	FGRAMPH1_01T14515
FG2G34870	FGSG_04147	FGRRES_04147	FGRAMPH1_01T14603
FG2G35130	FGSG_04168	FGRRES_04168	FGRAMPH1_01T14649
FG2G35350	FGSG_04184	FGRRES_04184	FGRAMPH1_01T14685
FG2G35400	FGSG_04189	FGRRES_04189	FGRAMPH1_01T14695
FG2G36350	FGSG_04259	FGRRES_04259	FGRAMPH1_01T14859
FG2G37210	FGSG_04321	FGRRES_04321	FGRAMPH1_01T15003
FG2G37670	FGSG_04349	FGRRES_04349	FGRAMPH1_01T15077
FG2G38630	FGSG_04417	FGRRES_04417	FGRAMPH1_01T15237
FG2G39170	FGSG_12255	FGRRES_12255	FGRAMPH1_01T15323
FG2G39790	FGSG_04484	FGRRES_04484	FGRAMPH1_01T15413
FG2G39840	FGSG_04487	FGRRES_04487	FGRAMPH1_01T15419
FG3G03490	FGSG_04947	FGRRES_04947	FGRAMPH1_01T16701,FGRAMPH1_01T16703
FG3G07480	FGSG_05198	FGRRES_05198	FGRAMPH1_01T17343
FG3G08060	FGSG_05236	FGRRES_05236	FGRAMPH1_01T17433
FG3G08190	FGSG_05244	FGRRES_05244	FGRAMPH1_01T17451
FG3G08230	FGSG_05248	FGRRES_05248	FGRAMPH1_01T17459
FG3G08540	FGSG_05273	FGRRES_05273	FGRAMPH1_01T17507
FG3G08980	FGSG_05300	FGRRES_05301	FGRAMPH1_01T17569
FG3G09010	FGSG_05304	FGRRES_05304	FGRAMPH1_01T17575
FG3G09860	FGSG_05358	FGRRES_05358_M	FGRAMPH1_01T17721
FG3G10640	FGSG_05414	FGRRES_05414	FGRAMPH1_01T17853
FG3G10700	FGSG_05417	FGRRES_15296_M	FGRAMPH1_01T17865,FGRAMPH1_01T17867
FG3G10960	FGSG_05433	FGRRES_05433	FGRAMPH1_01T17903
FG3G12910	FGSG_05567	FGRRES_05567	FGRAMPH1_01T18221
FG3G13090	FGSG_05580	FGRRES_05580	FGRAMPH1_01T18253
FG3G13520	FGSG_05608	FGRRES_05608	FGRAMPH1_01T18321
FG3G13670	FGSG_05619	FGRRES_05619	FGRAMPH1_01T18347
FG3G14020	FGSG_05642	FGRRES_05642_M	FGRAMPH1_01T18399
FG3G14580	FGSG_05671	FGRRES_05671	FGRAMPH1_01T18477
FG3G15360	FGSG_05723	FGRRES_05723	FGRAMPH1_01T18607
FG3G15460	FGSG_05730	FGRRES_05730	FGRAMPH1_01T18627
FG3G15890	FGSG_05758	FGRRES_05758	FGRAMPH1_01T18697
FG3G15960	FGSG_05764,FGSG_05764T1,FGSG_12806	FGRRES_16540	FGRAMPH1_01T18709
FG3G18190	FGSG_05910	FGRRES_05910	FGRAMPH1_01T19059
FG3G19240	FGSG_12853,FGSG_12854	FGRRES_16585	FGRAMPH1_01T19247
FG3G22830	FGSG_06217	FGRRES_06217	FGRAMPH1_01T19785
FG3G23500	FGSG_06263	FGRRES_06263	FGRAMPH1_01T19895
FG3G23950	FGSG_06295	FGRRES_16628	FGRAMPH1_01T19971
FG3G24050	FGSG_06302	FGRRES_06302_M	FGRAMPH1_01T19987
FG3G25240	FGSG_06378	FGRRES_16641	FGRAMPH1_01T20165
FG3G25410	FGSG_06391	FGRRES_06391_M	FGRAMPH1_01T20193
FG3G25560	FGSG_06402	FGRRES_06402	FGRAMPH1_01T20219
FG3G26360	FGSG_10742	FGRRES_10742	FGRAMPH1_01T20347
FG3G27200	FGSG_10792	FGRRES_17518	FGRAMPH1_01T20479
FG3G27960	FGSG_10835	FGRRES_10835	FGRAMPH1_01T20591
FG3G29610	FGSG_10940	FGRRES_10940	FGRAMPH1_01T20849
FG3G29690	FGSG_10945	FGRRES_10945	FGRAMPH1_01T20861
FG3G29760	FGSG_10950	FGRRES_10950	FGRAMPH1_01T20873
FG3G29810	FGSG_10953	FGRRES_10953	FGRAMPH1_01T20879
FG3G32210	FGSG_11153	FGRRES_11153	FGRAMPH1_01T21341
FG3G02880	FGSG_04908	FGRRES_04908	FGRAMPH1_01T16611
FG3G04090	FGSG_12663	FGRRES_16447	FGRAMPH1_01T16805
FG3G04330		FGRRES_05001_M	FGRAMPH1_01T16843
FG3G05250	FGSG_05062	FGRRES_05062	FGRAMPH1_01T16997
FG3G05610	FGSG_05082	FGRRES_05082	FGRAMPH1_01T17053
FG3G05890	FGSG_05102	FGRRES_05102	FGRAMPH1_01T17107
FG3G06050	FGSG_05115	FGRRES_05115	FGRAMPH1_01T17135
FG3G06370	FGSG_05134	FGRRES_05134	FGRAMPH1_01T17183
FG3G07490	FGSG_05199	FGRRES_05199	FGRAMPH1_01T17345
FG3G09030	FGSG_05306	FGRRES_05306	FGRAMPH1_01T17579
FG3G09040	FGSG_05307	FGRRES_05307	FGRAMPH1_01T17581
FG3G09290		FGRRES_15291	FGRAMPH1_01T17617
FG3G10290	FGSG_05392	FGRRES_05392	FGRAMPH1_01T17797
FG3G10340	FGSG_05396	FGRRES_16479	FGRAMPH1_01T17803
FG3G10750	FGSG_12736	FGRRES_12736	FGRAMPH1_01T17875
FG3G10910	FGSG_05430	FGRRES_05430	FGRAMPH1_01T17897
FG3G10950	FGSG_05432	FGRRES_05432	FGRAMPH1_01T17901
FG3G11950	FGSG_05500	FGRRES_05500_M	FGRAMPH1_01T18069
FG3G11980	FGSG_05503	FGRRES_05503	FGRAMPH1_01T18075
FG3G12160	FGSG_05515	FGRRES_05515	FGRAMPH1_01T18107
FG3G12580	FGSG_05540	FGRRES_16495	FGRAMPH1_01T18161
FG3G12690	FGSG_05549	FGRRES_16497	FGRAMPH1_01T18183
FG3G13400	FGSG_05600	FGRRES_05600	FGRAMPH1_01T18305
FG3G13870	FGSG_05632	FGRRES_05632	FGRAMPH1_01T18375
FG3G15010	FGSG_05699	FGRRES_05699	FGRAMPH1_01T18545
FG3G15530	FGSG_05734	FGRRES_05734	FGRAMPH1_01T18637
FG3G15660	FGSG_05744	FGRRES_16533	FGRAMPH1_01T18659
FG3G15680	FGSG_05746	FGRRES_05746	FGRAMPH1_01T18663
FG3G15750	FGSG_05749	FGRRES_05749	FGRAMPH1_01T18671
FG3G16680	FGSG_05816	FGRRES_05816	FGRAMPH1_01T18825
FG3G17740	FGSG_05884	FGRRES_05884	FGRAMPH1_01T18995
FG3G18070	FGSG_12840	FGRRES_12840	FGRAMPH1_01T19041
FG3G18310	FGSG_12842	FGRRES_12842	FGRAMPH1_01T19081
FG3G19470	FGSG_06006	FGRRES_06006	FGRAMPH1_01T19275
FG3G19600	FGSG_06016	FGRRES_06016	FGRAMPH1_01T19295
FG3G20500	FGSG_06080	FGRRES_06080	FGRAMPH1_01T19437
FG3G20580	FGSG_12866	FGRRES_12866	FGRAMPH1_01T19447
FG3G20980	FGSG_06114	FGRRES_06114	FGRAMPH1_01T19515
FG3G21190	FGSG_06128	FGRRES_16609	FGRAMPH1_01T19547
FG3G22190	FGSG_06177	FGRRES_06177	FGRAMPH1_01T19683
FG3G22470	FGSG_06193	FGRRES_16614	FGRAMPH1_01T19721
FG3G23790	FGSG_06285	FGRRES_06285	FGRAMPH1_01T19945
FG3G23900	FGSG_06291	FGRRES_06291	FGRAMPH1_01T19961
FG3G24370	FGSG_12906	FGRRES_12906	FGRAMPH1_01T20043
FG3G24770	FGSG_06351	FGRRES_06351	FGRAMPH1_01T20097
FG3G24840	FGSG_06355	FGRRES_06355_M	FGRAMPH1_01T20109
FG3G25100	FGSG_06368	FGRRES_06368	FGRAMPH1_01T20145
FG3G25200	FGSG_06375	FGRRES_06375	FGRAMPH1_01T20159
FG3G25420	FGSG_06392	FGRRES_06392_M	FGRAMPH1_01T20195
FG3G25590	FGSG_06404	FGRRES_06404_M	FGRAMPH1_01T20223
FG3G26460	FGSG_10750	FGRRES_10750	FGRAMPH1_01T20367
FG3G27010	FGSG_10781	FGRRES_10781	FGRAMPH1_01T20453
FG3G27230	FGSG_10795	FGRRES_10795	FGRAMPH1_01T20485
FG3G27250	FGSG_10796	FGRRES_10796	FGRAMPH1_01T20487
FG3G27330	FGSG_10799	FGRRES_17517	FGRAMPH1_01T20499
FG3G29110	FGSG_10905	FGRRES_10905	FGRAMPH1_01T20767
FG4G00990	FGSG_06493	FGRRES_06493	FGRAMPH1_01T22431
FG4G01160	FGSG_06504	FGRRES_16669	FGRAMPH1_01T22457
FG4G01820	FGSG_06552	FGRRES_16674	FGRAMPH1_01T22567
FG4G02580	FGSG_06601	FGRRES_06601_M	FGRAMPH1_01T22679
FG4G02860	FGSG_06616	FGRRES_15372_06616_M	FGRAMPH1_01T22735
FG4G03940	FGSG_06674	FGRRES_16700_M	FGRAMPH1_01T22891
FG4G05430	FGSG_06767	FGRRES_06767	FGRAMPH1_01T23137
FG4G05900	FGSG_06799	FGRRES_06799_M	FGRAMPH1_01T23215
FG4G06170	FGSG_06814	FGRRES_06814	FGRAMPH1_01T23251
FG4G06280	FGSG_06822	FGRRES_06822	FGRAMPH1_01T23269
FG4G06390	FGSG_06831	FGRRES_16723	FGRAMPH1_01T23287
FG4G07190	FGSG_06886	FGRRES_06886	FGRAMPH1_01T23417
FG4G07240	FGSG_13014	FGRRES_13014	FGRAMPH1_01T23425
FG4G07580	FGSG_06912	FGRRES_06912_M	FGRAMPH1_01T23479
FG4G07950	FGSG_06936	FGRRES_06936_M	FGRAMPH1_01T23535
FG4G10670	FGSG_07100	FGRRES_07100	FGRAMPH1_01T23961
FG4G10990	FGSG_07120	FGRRES_07120	FGRAMPH1_01T24011
FG4G12580		FGRRES_20358	FGRAMPH1_01T24249
FG4G13280	FGSG_07256	FGRRES_07256	FGRAMPH1_01T24359
FG4G16030	FGSG_07432	FGRRES_07432	FGRAMPH1_01T24809
FG4G17330	FGSG_07526	FGRRES_16842_M	FGRAMPH1_01T25019
FG4G17690	FGSG_07555	FGRRES_07555	FGRAMPH1_01T25087
FG4G24640	FGSG_09775	FGRRES_09775_M	FGRAMPH1_01T26307
FG4G25880	FGSG_09704	FGRRES_09704	FGRAMPH1_01T26479
FG4G26300	FGSG_09673	FGRRES_09673	FGRAMPH1_01T26543
FG4G26320	FGSG_09672	FGRRES_09672	FGRAMPH1_01T26545
FG4G27420	FGSG_09591	FGRRES_09591	FGRAMPH1_01T26723
FG4G27600	FGSG_09579	FGRRES_09579	FGRAMPH1_01T26751
FG4G27760	FGSG_09569	FGRRES_09569	FGRAMPH1_01T26771,FGRAMPH1_01T26773
FG4G30350	FGSG_09407	FGRRES_17202	FGRAMPH1_01T27171
FG4G30590	FGSG_09391	FGRRES_09391	FGRAMPH1_01T27205
FG4G31910	FGSG_09306	FGRRES_09306	FGRAMPH1_01T27415
FG4G33720	FGSG_09188	FGRRES_17171	FGRAMPH1_01T27715
FG4G34510	FGSG_09135	FGRRES_09135_M	FGRAMPH1_01T27843
FG4G35860	FGSG_13504	FGRRES_13504	FGRAMPH1_01T28087
FG4G01200	FGSG_06507	FGRRES_06507	FGRAMPH1_01T22465
FG4G02200	FGSG_06573	FGRRES_06573	FGRAMPH1_01T22621
