Orthogroup	GCF_000002945.2_ASM294v3_protein	GCF_000146045.2_R64_protein	GCF_000213175.1_v2.0_protein
OG0000029	NP_587853.1, NP_595075.1, NP_595076.2	NP_012878.1, NP_013965.1	XP_009848272.1, XP_009849491.1, XP_009849961.1, XP_009850038.1, XP_009850873.1, XP_009853544.1, XP_009853572.1, XP_009854836.1, XP_009855362.1, XP_009856239.1
OG0000030			XP_009847022.1, XP_009847398.1, XP_009847469.1, XP_009848923.1, XP_009849379.1, XP_009853081.1, XP_009853619.1, XP_009853841.1, XP_009853957.1, XP_009853997.1, XP_009854322.1, XP_009854669.1, XP_009854761.1, XP_009854983.1, XP_009856953.1
OG0000031	NP_593512.1, NP_593548.1, NP_596772.1	NP_009864.1, NP_011740.3, NP_013031.3, NP_015524.1	XP_009848879.1, XP_009849643.1, XP_009852902.1, XP_009854275.1, XP_009855571.1, XP_009856729.1
OG0000032	NP_001342732.1	NP_009781.3	XP_009847554.1, XP_009847859.1, XP_009850323.1, XP_009851791.1, XP_009852778.1, XP_009853271.1, XP_009855276.1, XP_009855537.1, XP_009856157.1, XP_009856808.1, XP_009857175.1
OG0000033	NP_588001.1	NP_009944.2, NP_012278.3, NP_013113.1, NP_013425.1, NP_013856.1, NP_015304.1	XP_009848101.1, XP_009849155.1, XP_009849897.1, XP_009853415.1, XP_009854479.1, XP_009855773.1
OG0000034	NP_594494.1	NP_013774.1, NP_116612.1	XP_009848441.1, XP_009849135.1, XP_009852593.1, XP_009852808.1, XP_009852809.1, XP_009852872.1, XP_009853179.1, XP_009854221.1, XP_009854726.1, XP_009857095.1
OG0000035			XP_009847044.1, XP_009847052.1, XP_009847124.1, XP_009847171.1, XP_009848677.1, XP_009848678.1, XP_009849235.1, XP_009850013.1, XP_009851885.1, XP_009854187.1, XP_009854215.1, XP_009855477.1, XP_009857384.1
OG0000036			XP_009847049.1, XP_009847087.1, XP_009847157.1, XP_009848719.1, XP_009848781.1, XP_009850234.1, XP_009850272.1, XP_009851566.1, XP_009851661.1, XP_009852782.1, XP_009853819.1, XP_009855891.1, XP_009856473.1
OG0000037	NP_594687.1	NP_012119.1	XP_009847205.1, XP_009848462.1, XP_009850369.1, XP_009852207.1, XP_009852721.1, XP_009854143.1, XP_009855336.1, XP_009855810.1, XP_009856293.1, XP_009857234.1
OG0000038	NP_593662.1	NP_010545.3, NP_010711.3, NP_011854.1, NP_013707.1, NP_014671.1	XP_009847118.1, XP_009848559.1, XP_009849423.1, XP_009851001.1, XP_009854526.1, XP_009855404.1
OG0000039	NP_594912.1	NP_009952.2, NP_012372.1	XP_009849357.1, XP_009849397.1, XP_009849472.1, XP_009853853.1, XP_009854579.1, XP_009854979.1, XP_009855183.1, XP_009856349.1, XP_009856772.1
OG0000040	NP_595060.1		XP_009847709.1, XP_009847806.1, XP_009848379.1, XP_009849071.1, XP_009850047.1, XP_009851525.1, XP_009854043.1, XP_009854247.1, XP_009854989.1, XP_009855082.1, XP_009855569.1
OG0000041	NP_595401.2	NP_009454.1, NP_011771.1	XP_009847376.1, XP_009849139.1, XP_009850182.1, XP_009850476.1, XP_009852292.1, XP_009852824.1, XP_009853017.1, XP_009856756.1, XP_009857032.1
OG0000042		NP_009335.1, NP_009338.1, NP_009424.1, NP_010013.2, NP_012081.1, NP_012083.1, NP_013028.1, NP_013211.1, NP_014442.1, NP_058136.1, NP_116576.1, NP_878091.3	
OG0000043		NP_009599.2, NP_012145.1, NP_012146.1, NP_014334.3	XP_009847903.1, XP_009849005.1, XP_009849121.1, XP_009849823.1, XP_009850166.1, XP_009855747.1, XP_009855876.1, XP_009857295.1
OG0000044		NP_012701.2, NP_014522.1	XP_009847784.1, XP_009848030.1, XP_009849595.1, XP_009851070.1, XP_009853184.1, XP_009854743.1, XP_009854783.1, XP_009854922.1, XP_009855153.1, XP_009856450.1
OG0000045			XP_009847079.1, XP_009850269.1, XP_009850278.1, XP_009850317.1, XP_009852724.1, XP_009853890.1, XP_009853910.1, XP_009854900.1, XP_009854934.1, XP_009856472.1, XP_009856910.1, XP_009857136.1
OG0000046	NP_001343028.1, NP_587679.2, NP_588248.3, NP_595069.1	NP_013199.1, NP_014982.3	XP_009849395.1, XP_009851824.1, XP_009853267.1, XP_009856000.1, XP_009856336.1
OG0000047	NP_588100.1	NP_010493.1	XP_009848344.1, XP_009848758.1, XP_009851757.1, XP_009851780.1, XP_009853811.1, XP_009853869.1, XP_009854506.1, XP_009854763.1, XP_009857352.1
OG0000048	NP_594316.1, NP_595000.1, NP_595008.3, NP_595051.2, NP_595053.1, NP_596348.1, NP_596849.1	NP_012965.3	XP_009852605.1, XP_009853706.1, XP_009857267.1
OG0000049	NP_595653.1	NP_015520.1	XP_009849133.1, XP_009849154.1, XP_009850842.1, XP_009851727.1, XP_009853078.1, XP_009853615.1, XP_009853651.1, XP_009853833.1, XP_009856284.1
OG0000050	NP_587852.1	NP_012221.2, NP_012772.1	XP_009849163.1, XP_009849568.1, XP_009850079.1, XP_009850995.1, XP_009853024.1, XP_009853709.1, XP_009854993.1, XP_009856344.1
OG0000051	NP_001342884.1, NP_001417937.1, NP_592772.1, NP_592781.1, NP_593196.1, NP_594024.1	NP_013719.1, NP_013721.1, NP_014632.1	XP_009849392.1, XP_009856316.1
OG0000052			XP_009848699.1, XP_009848812.1, XP_009849972.1, XP_009850035.1, XP_009850036.1, XP_009850037.1, XP_009852572.1, XP_009852681.1, XP_009854809.1, XP_009856296.1, XP_009856297.1
OG0000053	NP_593170.1		XP_009847785.1, XP_009848566.1, XP_009848977.1, XP_009849644.1, XP_009852518.1, XP_009854778.1, XP_009856458.1, XP_009856921.1, XP_009857284.1
OG0000054	NP_594344.1		XP_009847213.1, XP_009851694.1, XP_009852439.1, XP_009852927.1, XP_009853000.1, XP_009853119.1, XP_009854921.1, XP_009856049.1, XP_009856437.1
OG0000055	NP_587688.1, NP_588287.1, NP_595130.1	NP_012100.1, NP_012686.3	XP_009848597.1, XP_009848895.1, XP_009848933.1, XP_009852827.1, XP_009856634.1
OG0000056	NP_588330.1	NP_009602.1	XP_009847131.1, XP_009848877.1, XP_009848989.1, XP_009849598.1, XP_009853076.1, XP_009853831.1, XP_009854585.1, XP_009856946.1
OG0000057	NP_587703.1, NP_594336.1	NP_011310.1, NP_013789.1	XP_009848079.1, XP_009849186.1, XP_009853282.1, XP_009853470.1, XP_009855253.1, XP_009855885.1
OG0000058	NP_593499.3	NP_009560.1	XP_009848888.1, XP_009849801.1, XP_009852457.1, XP_009853998.1, XP_009855337.1, XP_009855575.1, XP_009855806.1, XP_009857314.1
OG0000059	NP_593943.3, NP_595055.1	NP_010419.3, NP_011797.3	XP_009847685.1, XP_009848267.1, XP_009851301.1, XP_009855343.1, XP_009856046.1, XP_009856439.1
OG0000060	NP_594888.1, NP_596843.1	NP_010656.1, NP_011972.1, NP_014763.1	XP_009849044.1, XP_009849532.1, XP_009852089.1, XP_009856077.1, XP_009856899.1
OG0000061	NP_001018766.1, NP_001018773.1, NP_592784.1, NP_595021.1	NP_010607.3, NP_013256.1, NP_013258.1, NP_013259.1, NP_013261.1	XP_009848273.1
OG0000062	NP_001342774.1, NP_001342986.1, NP_592804.2, NP_594923.1, NP_595127.1, NP_595318.2	NP_009548.1, NP_011111.1, NP_011502.1	XP_009847203.1
OG0000063	NP_001343047.1, NP_001343050.1, NP_592763.1, NP_592769.1, NP_592778.1, NP_595032.1, NP_595035.1, NP_595038.1, NP_596853.2, NP_596860.1		
OG0000064	NP_001417933.1, NP_595181.1, NP_595928.1	NP_009434.1, NP_009650.1, NP_009651.3, NP_010260.1, NP_012087.1	XP_009849464.1, XP_009856196.1
OG0000065	NP_587678.1, NP_592808.1, NP_592815.1, NP_594492.1, NP_595267.1	NP_010822.1, NP_014055.1, NP_015036.3, NP_015043.1	XP_009849239.1
OG0000066	NP_588023.1, NP_588268.1, NP_588269.1, NP_588270.1	NP_012852.1	XP_009848881.1, XP_009850201.1, XP_009854287.1, XP_009856951.1, XP_009857318.1
OG0000067	NP_588289.2		XP_009849051.1, XP_009849212.1, XP_009851063.1, XP_009851528.1, XP_009852216.1, XP_009853059.1, XP_009854466.1, XP_009855627.1, XP_009856606.1
OG0000068	NP_594139.2	NP_012665.3, NP_013158.1	XP_009847333.1, XP_009852919.1, XP_009853526.1, XP_009853712.1, XP_009853983.1, XP_009854954.1, XP_009857262.1
OG0000069	NP_595063.1	NP_009858.3, NP_011803.3, NP_011808.3, NP_012096.1, NP_012314.1, NP_012319.1, NP_014485.1	XP_009848762.1, XP_009850543.1
OG0000070	NP_596804.1	NP_009536.1, NP_010023.1, NP_010024.1, NP_010025.1, NP_012095.1, NP_012313.1, NP_014463.1, NP_014464.3	XP_009856617.1
OG0000071		NP_009856.3, NP_011804.1, NP_015522.1, NP_116603.1	XP_009847154.1, XP_009847405.1, XP_009849166.1, XP_009849439.1, XP_009851606.1, XP_009853620.1
OG0000072			XP_009848717.1, XP_009848769.1, XP_009848779.1, XP_009848789.1, XP_009849670.1, XP_009850630.1, XP_009850631.1, XP_009850632.1, XP_009850633.1, XP_009850634.1
OG0000073			XP_009848852.1, XP_009848987.1, XP_009849602.1, XP_009849603.1, XP_009853797.1, XP_009853830.1, XP_009853899.1, XP_009853908.1, XP_009853918.1, XP_009854685.1
OG0000074			XP_009850506.1, XP_009851544.1, XP_009851559.1, XP_009852596.1, XP_009852980.1, XP_009853067.1, XP_009854083.1, XP_009854318.1, XP_009855911.1, XP_009857099.1
OG0000075	NP_593288.1, NP_593553.1	NP_011056.1, NP_012861.1, NP_013751.1, NP_013907.1, NP_015094.1	XP_009854768.1, XP_009856614.1
OG0000076	NP_001342793.1	NP_013132.1	XP_009849596.1, XP_009849703.1, XP_009850130.1, XP_009850371.1, XP_009851715.1, XP_009855900.1, XP_009856940.1
OG0000077	NP_595123.2, NP_595614.3	NP_009758.3, NP_012181.3, NP_014369.3	XP_009847285.1, XP_009850447.1, XP_009853185.1, XP_009854411.1
OG0000078	NP_593502.1	NP_013643.1	XP_009847165.1, XP_009848821.1, XP_009849963.1, XP_009851790.1, XP_009855352.1, XP_009855552.1, XP_009857348.1
OG0000079	NP_594790.1		XP_009847714.1, XP_009847751.1, XP_009848844.1, XP_009850542.1, XP_009853649.1, XP_009854007.1, XP_009854213.1, XP_009856790.1
OG0000080	NP_001342964.1, NP_588212.1, NP_592770.1, NP_592779.1, NP_592795.1, NP_593987.1, NP_595019.1, NP_595272.1, NP_596007.1		
OG0000081	NP_587784.1	NP_014889.3	XP_009848129.1, XP_009849285.1, XP_009851587.1, XP_009851789.1, XP_009852873.1, XP_009853054.1, XP_009853608.1
OG0000082	NP_594249.1	NP_011112.3, NP_011729.1, NP_013147.1, NP_014692.1	XP_009847240.1, XP_009853407.1, XP_009853784.1, XP_009854762.1
OG0000083	NP_595327.1	NP_013943.1	XP_009850334.1, XP_009850424.1, XP_009850428.1, XP_009850430.1, XP_009850431.1, XP_009852796.1, XP_009854876.1
OG0000084	NP_595726.1, NP_596185.1	NP_010931.3, NP_012257.1, NP_013974.1, NP_014962.3	XP_009849654.1, XP_009852054.1, XP_009854507.1
OG0000085			XP_009847135.1, XP_009848638.1, XP_009848641.1, XP_009849818.1, XP_009849819.1, XP_009850475.1, XP_009851852.1, XP_009855108.1, XP_009856501.1
OG0000086			XP_009847970.1, XP_009848891.1, XP_009849881.1, XP_009850022.1, XP_009850282.1, XP_009850410.1, XP_009854067.1, XP_009857297.1, XP_009857399.1
OG0000087			XP_009850205.1, XP_009851850.1, XP_009852400.1, XP_009852420.1, XP_009852727.1, XP_009853035.1, XP_009854180.1, XP_009855999.1, XP_009857327.1
OG0000088	NP_588286.1, NP_593605.1, NP_594098.2, NP_596537.1	NP_012910.1	XP_009850237.1, XP_009853546.1, XP_009853923.1
OG0000089			XP_009847282.1, XP_009847331.1, XP_009848339.1, XP_009854106.1, XP_009854739.1, XP_009854991.1, XP_009856858.1, XP_009856897.1
OG0000090	NP_588472.2, NP_594861.1	NP_009804.1, NP_012140.1, NP_116696.2	XP_009848765.1, XP_009850649.1, XP_009854554.1
OG0000091	NP_588033.1	NP_014847.3, NP_015206.1	XP_009847935.1, XP_009852332.1, XP_009852334.1, XP_009852335.1, XP_009855179.1
OG0000092	NP_596452.1	NP_014854.2	XP_009848023.1, XP_009849056.1, XP_009849931.1, XP_009850460.1, XP_009854666.1, XP_009855657.1
OG0000093	NP_593701.2	NP_009662.3, NP_012629.1, NP_014743.1, NP_015383.1	XP_009847862.1, XP_009849902.1, XP_009851441.1
OG0000094	NP_001342819.1, NP_587775.1, NP_592824.1, NP_592826.1, NP_594624.1, NP_596837.1	NP_010531.1	XP_009856403.1
OG0000095	NP_001342984.1	NP_010102.1, NP_010156.2, NP_011938.1	XP_009850492.1, XP_009851506.1, XP_009854154.1, XP_009855171.1
OG0000096	NP_594938.1, NP_596746.1	NP_013942.1, NP_014612.1	XP_009847321.1, XP_009849913.1, XP_009852271.1, XP_009852324.1
OG0000097	NP_595246.1	NP_010323.3, NP_010324.3, NP_010325.1	XP_009849096.1, XP_009853591.1, XP_009854782.1, XP_009856145.1
OG0000098	NP_001018762.2, NP_587739.1, NP_587740.1, NP_587746.1, NP_587747.1, NP_592790.1, NP_595064.1, NP_596425.1		
OG0000099	NP_001343044.1, NP_001343176.1, NP_587673.1, NP_587699.1, NP_587704.1, NP_588570.3, NP_588572.1, NP_595157.1		
