Transcript stable ID,Schizosaccharomyces pombe gene stable ID,Saccharomyces cerevisiae gene stable ID,Saccharomyces cerevisiae homology type,Schizosaccharomyces pombe homology type
FGRAMPH1_01T00959,SPOM_SPAC458.03,YGR099W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00961,SPOM_SPAC24H6.12C,YPR066W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00963,SPOM_SPBC1289.07C,YPR110C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00977,SPOM_SPAC24B11.08C,YAL042W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00983,SPOM_SPBC1604.06C,YPR144C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00985,SPOM_SPBC1604.07,YPL078C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T00989,SPOM_SPBC146.12,YGR255C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01015,SPOM_SPBC1347.07,YLR059C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01045,SPOM_SPAC1071.01C,YAL043C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01071,SPOM_SPAC1556.04C,YLR245C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01087,SPOM_SPBC1711.04,YKR080W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01091,SPOM_SPAC4D7.12C,YLR243W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01107,SPOM_SPAC22H10.10,YER007W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01117,SPOM_SPBC1271.02,YGL022W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01125,SPOM_SPCC18B5.11C,YPL153C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01133,SPOM_SPCC18.12C,YOR004W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01135,SPOM_SPAC6F6.13C,YFL034W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01141,SPOM_SPBC2A9.05C,YDR084C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01149,SPOM_SPBC31F10.03,YER163C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01163,SPOM_SPBC1711.16,YLR196W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01173,SPOM_SPAC23A1.14C,YHR112C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01181,SPOM_SPAC2F3.17C,YDR378C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01187,SPOM_SPBC13E7.11,YGR101W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01203,SPOM_SPAC227.12,YPR178W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01205,SPOM_SPCC4G3.08,YBR028C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01223,SPOM_SPCC1450.10C,YNL240C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01229,SPOM_SPAP8A3.07C,YDR035W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01237,SPOM_SPBP4H10.21C,YDR489W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01245,SPOM_SPBC29A3.06,YJL069C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01257,SPOM_SPAC3C7.11C,YAL058W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01265,SPOM_SPAC23A1.15C,YDR498C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01267,SPOM_SPAC23C11.05,YBR011C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01277,SPOM_SPAC27F1.07,YJL002C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01283,SPOM_SPAC26A3.17C,YDR465C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01285,SPOM_SPCC1322.14C,YJL012C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01289,SPOM_SPCC16A11.17,YPR019W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01291,SPOM_SPCC576.07,YPL010W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01293,SPOM_SPCC895.03C,YGL169W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01295,SPOM_SPCC338.13,YPR105C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01297,SPOM_SPBC31E1.02C,YGL167C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01299,SPOM_SPCC338.17C,YDL003W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01321,SPOM_SPCC970.04C,YFL034C-B,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01327,SPOM_SPCC1450.16C,YMR313C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01339,SPOM_SPCC1322.04,YKL035W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01373,SPOM_SPCC970.06,YGR284C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01397,SPOM_SPBC1921.03C,YPL169C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01405,SPOM_SPAC2G11.12,YMR190C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01421,SPOM_SPBC106.06,YDL143W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01423,SPOM_SPBC16C6.07C,YKL145W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01427,SPOM_SPBC29A3.18,YOR065W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01429,SPOM_SPAC22E12.07,YMR235C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01433,SPOM_SPCC1795.04C,YOR362C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01435,SPOM_SPBC14C8.14C,YEL055C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01441,SPOM_SPAC1F3.09,YGR093W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01443,SPOM_SPBC56F2.04,YBL004W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01445,SPOM_SPAC24H6.02C,YNL310C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01477,SPOM_SPBC4F6.10,YML097C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01497,SPOM_SPBP4H10.17C,YHR075C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01501,SPOM_SPAC31G5.05C,YJL121C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01503,SPOM_SPBC6B1.08C,YER049W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01519,SPOM_SPAC16E8.16,YPR086W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01521,SPOM_SPBC16G5.08,YDR354W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01533,SPOM_SPBC4F6.11C,YML096W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01543,SPOM_SPBC16C6.09,YJR143C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01549,SPOM_SPBC14C8.06,YBR234C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01551,SPOM_SPBC8D2.09C,YIR009W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01591,SPOM_SPBC646.07C,YDL015C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01599,SPOM_SPAC26F1.09,YPL249C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01607,SPOM_SPBC3B8.05,YIL103W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01609,SPOM_SPAC637.05C,YBR127C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01621,SPOM_SPBC21B10.03C,YGR178C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01623,SPOM_SPCC613.10,YPR191W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01625,SPOM_SPAPB1E7.03,YPR190C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01627,SPOM_SPCC1682.09C,YDL198C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01633,SPOM_SPAC4G9.17C,YBR251W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01647,SPOM_SPBC1709.19C,YKL040C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01667,SPOM_SPAC16.05C,YLR403W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01677,SPOM_SPAC16.04,YLR401C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01679,SPOM_SPAC3C7.10,YLR191W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01681,SPOM_SPAC26H5.03,YML102W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01709,SPOM_SPAC20G8.10C,YPL120W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01725,SPOM_SPBC1709.17,YOR241W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01727,SPOM_SPBC3E7.05C,YKR016W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01733,SPOM_SPBC19F5.03,YKL212W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01737,SPOM_SPCC18B5.08C,YPL040C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01749,SPOM_SPAC1952.01,YLR459W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01755,SPOM_SPAC25G10.07C,YEL061C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01765,SPOM_SPAC144.10C,YJL091C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01801,SPOM_SPAC1556.01C,YNL250W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01813,SPOM_SPBC29A3.03C,YDR255C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01817,SPOM_SPAC222.03C,YHR005C-A,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01829,SPOM_SPAC23A1.04C,YHR204W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01853,SPOM_SPAC20G8.09C,YNL132W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01879,SPOM_SPBP23A10.16,YOR297C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01881,SPOM_SPCC576.06C,YPL097W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01883,SPOM_SPAC23H3.03C,YEL062W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01891,SPOM_SPAC24C9.09,YKL194C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01895,SPOM_SPAC3G6.03C,YOR111W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01907,SPOM_SPBC4B4.05,YFL017W-A,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01931,SPOM_SPCC645.14C,YOR027W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01951,SPOM_SPCC794.11C,YJR125C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01955,SPOM_SPCC290.02,YNR003C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T01961,SPOM_SPAC31G5.13,YFR004W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02037,SPOM_SPAC29E6.05C,YER042W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02047,SPOM_SPBC25B2.11,YJR052W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02051,SPOM_SPAC17G6.16C,YLR277C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02055,SPOM_SPBC651.02,YJL126W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02065,SPOM_SPBC691.03C,YBL037W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02067,SPOM_SPAC644.09,YBL036C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02085,SPOM_SPAC222.14C,YOR165W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02087,SPOM_SPAC4G9.02,YNL072W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02089,SPOM_SPBC1861.01C,YKL089W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02091,SPOM_SPBC83.05,YMR302C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02111,SPOM_SPAC4G9.08C,YOR207C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02113,SPOM_SPAC20H4.07,YDR004W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02123,SPOM_SPBC1306.02,YPL183C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02133,SPOM_SPAC57A7.08,YML016C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02165,SPOM_SPBP23A10.15C,YLR163C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02169,SPOM_SPAC1952.13,YMR165C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02179,SPOM_SPAC3A12.15,YJL029C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02183,SPOM_SPBC1289.08,YDL103C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02189,SPOM_SPCC18.08,YNL073W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02221,SPOM_SPBP22H7.02C,YPR112C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02223,SPOM_SPAC926.07C,YDR424C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02237,SPOM_SPCC338.11C,YBR271W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02269,SPOM_SPBC3E7.08C,YGR258C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02271,SPOM_SPAC20H4.03C,YGL043W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02273,SPOM_SPAC3A12.17C,YGR012W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02275,SPOM_SPAC644.05C,YBR252W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02279,SPOM_SPAC23C11.09,YOR335C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02285,SPOM_SPBC28F2.08C,YLR207W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02291,SPOM_SPCC1183.06,YML021C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02297,SPOM_SPCC63.07,YGR024C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02301,SPOM_SPBC28F2.12,YDL140C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02345,SPOM_SPAC3G9.04,YNL222W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02391,SPOM_SPAC4H3.04C,YJR008W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02405,SPOM_SPAC227.08C,YPR107C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02409,SPOM_SPBC23E6.08,YDR137W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02415,SPOM_SPBC3D6.07,YPL175W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02417,SPOM_SPCC285.03,YNR038W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02435,SPOM_SPAC14C4.13,YER173W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02461,SPOM_SPAC9E9.09C,YER073W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02503,SPOM_SPAC140.02,YGR159C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02513,SPOM_SPAC13F5.02C,YMR227C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02525,SPOM_SPAC24H6.11C,YGR125W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02527,SPOM_SPBP23A10.09,YDR013W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02529,SPOM_SPCC1450.04,YAL003W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02533,SPOM_SPBC1289.02C,YNL286W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02541,SPOM_SPCC24B10.17,YGL200C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02547,SPOM_SPBC4F6.17C,YDR258C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02577,SPOM_SPAC144.08,YGL018C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02581,SPOM_SPBC14C8.07C,YJL194W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02591,SPOM_SPBC1347.01C,YOR346W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02595,SPOM_SPAC17G8.02,YDR400W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02597,SPOM_SPBC1604.04,YGR096W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02605,SPOM_SPBC29A3.14C,YLR318W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02617,SPOM_SPBP23A10.04,YLR127C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02633,SPOM_SPBC16D10.09,YBR088C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02643,SPOM_SPBC32F12.01C,YER019W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02655,SPOM_SPAC15E1.04,YOR074C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02657,SPOM_SPAC30D11.11,YLR023C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02659,SPOM_SPAC6F6.08C,YMR055C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02669,SPOM_SPCC61.03,YKL151C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02675,SPOM_SPAC26A3.09C,YPL115C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02695,SPOM_SPAC14C4.14,YBL099W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02699,SPOM_SPAC26A3.08,YER029C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02707,SPOM_SPBP35G2.07,YMR108W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02725,SPOM_SPBC115.01C,YGR095C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02727,SPOM_SPAC1782.05,YPL152W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02739,SPOM_SPAC2H10.02C,YIL007C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02749,SPOM_SPAC12G12.06C,YOL010W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02753,SPOM_SPAC3G9.06,YFL022C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02765,SPOM_SPAC22E12.01,YML038C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02783,SPOM_SPBC1198.13C,YGR005C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02789,SPOM_SPCC1322.16,YGR231C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02793,SPOM_SPBC16C6.05,YJR014W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02797,SPOM_SPAC637.10C,YHR200W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02799,SPOM_SPBC3B9.12,YDR246W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02807,SPOM_SPCP1E11.11,YDR496C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02809,SPOM_SPCC1393.09C,YDR152W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02813,SPOM_SPCC1450.13C,YBR256C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02815,SPOM_SPCC4G3.05C,YDR386W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02819,SPOM_SPAC890.07C,YBR034C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02821,SPOM_SPCP1E11.08,YER126C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02825,SPOM_SPBC106.01,YDL028C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02827,SPOM_SPAC823.07,YCR044C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02855,SPOM_SPBC713.07C,YDR452W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02859,SPOM_SPAC31G5.14,YDR019C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02861,SPOM_SPAC7D4.10,YPR036W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02867,SPOM_SPAC4G9.13C,YJL053W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02871,SPOM_SPAC644.14C,YER095W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02879,SPOM_SPAC22F8.06,YBL041W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02881,SPOM_SPBC577.06C,YLR305C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02889,SPOM_SPBC409.13,YOL143C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02917,SPOM_SPAC926.08C,YKR081C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02937,SPOM_SPBC26H8.10,YOL021C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02939,SPOM_SPBC26H8.08C,YER006W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02943,SPOM_SPBC21C3.05,YDL043C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02945,SPOM_SPAC821.12,YNL161W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02951,SPOM_SPBC1D7.03,YGL215W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02957,SPOM_SPCC1281.05,YMR091C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02967,SPOM_SPCC1682.16,YOR259C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02971,SPOM_SPBC577.10,YFR050C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02979,SPOM_SPBC3F6.05,YDL240W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02989,SPOM_SPAC23D3.02,YJR068W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02993,SPOM_SPAC9.03C,YER172C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T02997,SPOM_SPAC3H1.01C,YLL004W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03005,SPOM_SPBC1711.10C,YBR170C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03009,SPOM_SPBC215.08C,YJR109C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03033,SPOM_SPAC631.01C,YIL034C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03045,SPOM_SPBC1703.13C,YER053C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03051,SPOM_SPAC19A8.09,YER074W-A,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03053,SPOM_SPBC1734.12C,YNR030W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03055,SPOM_SPBC19C7.03,YJL005W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03059,SPOM_SPCC63.12C,YER094C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03075,SPOM_SPBC4B4.09,YML046W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03087,SPOM_SPBC25H2.02,YIL078W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03097,SPOM_SPCC1322.01,YMR287C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03109,SPOM_SPAPB18E9.01,YHR070W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03113,SPOM_SPBC2A9.06C,YDL193W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03115,SPOM_SPAC13F5.06C,YLR166C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03117,SPOM_SPCC777.15,YLR405W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03147,SPOM_SPAC23C11.16,YMR001C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03169,SPOM_SPAC3A12.18,YNL241C,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03173,SPOM_SPAC1F5.07C,YER014W,ortholog_one2one,ortholog_one2one
FGRAMPH1_01T03175,SPOM_SPAC14C4.06C,YGL122C,ortholog_one2one,ortholog_one2one
