Gene stable ID	Saccharomyces cerevisiae gene stable ID	Schizosaccharomyces pombe gene stable ID	Saccharomyces cerevisiae homology type	Schizosaccharomyces pombe homology type
NCU06914	YPR033C	SPBC2G2.12	ortholog_one2one	ortholog_one2one
NCU06915				
NCU15346				
NCU06916				
NCU06917				
NCU06918		SPAC1399.01c		ortholog_one2one
NCU06919				
NCU06920				
NCU15345				
NCU06921	YDR364C	SPBC6B1.10	ortholog_one2one	ortholog_one2one
NCU06922	YBR210W	SPAC30C2.05	ortholog_one2many	ortholog_one2many
NCU06922	YGL054C	SPAC30C2.05	ortholog_one2many	ortholog_one2many
NCU06922	YBR210W	SPAC2C4.05	ortholog_one2many	ortholog_one2many
NCU06922	YGL054C	SPAC2C4.05	ortholog_one2many	ortholog_one2many
NCU06923	YLR244C	SPBC3E7.10	ortholog_one2one	ortholog_one2one
NCU06924	YBL098W		ortholog_one2one	
NCU17176				
NCU17177	YLR195C	SPBC2G2.11	ortholog_one2one	ortholog_one2one
NCU06926				
NCU06927				
NCU06928				
NCU06929	YML010W	SPAC23C4.19	ortholog_one2one	ortholog_one2one
NCU06930				
NCU06931				
NCU06932				
NCU06933				
NCU06934				
NCU06935				
NCU06936				
NCU06937				
NCU06938				
NCU10521	YGR201C	SPCC1183.02	ortholog_one2one	ortholog_one2many
NCU10521	YGR201C	SPAC29A4.02c	ortholog_one2one	ortholog_one2many
NCU10521	YGR201C	SPBC460.02c	ortholog_one2one	ortholog_one2many
NCU15344				
NCU06939		SPAC19B12.10		ortholog_one2one
NCU06940				
NCU06941	YLR200W	SPAC3A11.13	ortholog_one2one	ortholog_one2one
NCU06942	YPR173C	SPAC2G11.06	ortholog_one2one	ortholog_one2one
NCU06943				
NCU06944				
NCU06945				
NCU15343				
NCU06946				
NCU12040				
NCU10703				
NCU06948				
NCU06949				
NCU06950		SPAC1486.03c		ortholog_one2one
NCU06951		SPBC1773.04		ortholog_many2many
NCU06951		SPAC513.07		ortholog_many2many
NCU06953				
NCU06954				
NCU06955				
NCU09591				
NCU09590				
NCU09589				
NCU09588				
NCU09587				
NCU09586				
NCU09585				
NCU09584				
NCU12039				
NCU17180				
NCU17181				
NCU12036				
NCU09582				
NCU09581	YHL039W	SPBC1709.13c	ortholog_one2many	ortholog_one2one
NCU09581	YPL208W	SPBC1709.13c	ortholog_one2many	ortholog_one2one
NCU09580				
NCU09579	YKL107W	SPCC736.13	ortholog_many2many	ortholog_one2one
NCU09578				
NCU09577				
NCU15342				
NCU09576				
NCU09575				
NCU09574				
NCU09573				
NCU09572	YLR370C	SPBC1778.08c	ortholog_one2one	ortholog_one2one
NCU09571	YNL062C	SPBC800.08	ortholog_one2one	ortholog_one2one
NCU09570				
NCU09569				
NCU09568				
NCU09567				
NCU09566				
NCU09565				
NCU12035				
NCU09564	YBR296C		ortholog_one2one	
NCU15341				
NCU09562				
NCU09561	YOL146W	SPAC227.16c	ortholog_one2one	ortholog_one2one
NCU09560	YHR008C	SPAC1486.01	ortholog_one2one	ortholog_one2one
NCU09559	YBR240C		ortholog_many2many	
NCU10053	YOR074C	SPAC15E1.04	ortholog_one2one	ortholog_one2one
NCU15682				
NCU10052				
NCU10051	YGR234W	SPAC869.02c	ortholog_one2many	ortholog_one2many
NCU08399				
NCU08398				
NCU08397				
NCU08396				
NCU08395	YPR082C	SPCC16A11.05c	ortholog_one2one	ortholog_one2one
NCU12034				
NCU12033				
NCU08393				
NCU09429				
NCU09428				
NCU09427				
NCU09426				
NCU09425				
NCU09424				
NCU09423				
NCU09422				
NCU09421				
NCU09419				
NCU09420				
NCU17185				
NCU09418				
NCU17186				
NCU17187				
NCU09416				
NCU09415				
NCU09413				
NCU09412				
NCU09411				
NCU09410				
NCU09408				
NCU09409				
NCU09407	YKR089C	SPAC1A6.05c	ortholog_one2many	ortholog_one2one
NCU09407	YOR081C	SPAC1A6.05c	ortholog_one2many	ortholog_one2one
NCU09406				
NCU17188				
NCU12028				
NCU15340				
NCU09404				
NCU09403				
NCU09402				
NCU09401				
NCU09400				
NCU15339				
NCU15338				
NCU14157				
NCU10896				
NCU09396				
NCU09395				
NCU09394				
NCU09393				
NCU09391				
NCU09390				
NCU15681				
NCU09389				
NCU10014				
NCU10015				
NCU15835	YGL229C	SPCC663.01c	ortholog_one2many	ortholog_one2one
NCU15835	YFR040W	SPCC663.01c	ortholog_one2many	ortholog_one2one
NCU15835	YJL098W	SPCC663.01c	ortholog_one2many	ortholog_one2one
NCU15835	YKR028W	SPCC663.01c	ortholog_one2many	ortholog_one2one
NCU10016				
NCU10019				
NCU10020				
NCU10021				
NCU10057				
NCU10056				
NCU10055				
NCU09726				
NCU09725				
NCU09724				
NCU15337				
NCU09723				
NCU09722				
NCU09721	YKL135C	SPBC947.02	ortholog_one2one	ortholog_one2one
NCU09720				
NCU15336				
NCU09719				
NCU09718				
NCU09717				
NCU09716				
NCU09715	YBR126C	SPAC328.03	ortholog_one2one	ortholog_one2one
NCU09714				
NCU15335				
NCU09713				
NCU09712				
NCU09711	YNL212W	SPBC1685.14c	ortholog_one2one	ortholog_one2one
NCU09710		SPAC23E2.02		ortholog_many2many
NCU09709	YDR188W		ortholog_one2one	
NCU09708	YOL022C	SPBC25H2.15	ortholog_one2one	ortholog_one2one
NCU09707				
NCU09706		SPBC713.06		ortholog_one2one
NCU09705	YNR071C		ortholog_one2many	
NCU09705	YHR210C		ortholog_one2many	
NCU09704				
NCU15334				
NCU09703				
NCU15333				
NCU09702				
NCU15332				
NCU12026				
NCU12025				
NCU09700	YJL111W	SPBC25H2.12c	ortholog_one2one	ortholog_one2one
NCU12024				
NCU09699	YJL127C	SPAC21E11.04	ortholog_one2one	ortholog_one2one
NCU12023	YHL004W	SPAC24C9.10c	ortholog_one2one	ortholog_one2one
NCU10311		SPAC24C9.05c		ortholog_many2many
NCU04558				
NCU10865				
NCU04557				
NCU04556				
NCU04555				
NCU04554				
NCU04553	YLR167W		ortholog_one2one	
NCU04552	YER131W	SPAC806.03c	ortholog_one2many	ortholog_one2many
NCU04552	YGL189C	SPAC806.03c	ortholog_one2many	ortholog_one2many
NCU04552	YER131W	SPAC1805.11c	ortholog_one2many	ortholog_one2many
NCU04552	YGL189C	SPAC1805.11c	ortholog_one2many	ortholog_one2many
NCU04551				
NCU04550				
NCU04549				
NCU04548	YNL262W	SPBC25H2.13c	ortholog_one2one	ortholog_one2one
NCU10910	YCL069W		ortholog_many2many	
NCU10910	YKR105C		ortholog_many2many	
NCU04547				
NCU04546				
NCU04545				
NCU04544				
NCU04543				
NCU04542				
NCU04541	YDR486C	SPCC162.06c	ortholog_one2one	ortholog_one2one
NCU04540		SPBC56F2.01		ortholog_many2many
NCU04539				
NCU04538				
NCU04537				
NCU04535	YLR045C	SPCC736.14	ortholog_one2one	ortholog_one2many
NCU04535	YLR045C	SPCC895.07	ortholog_one2one	ortholog_one2many
NCU04534	YOR269W		ortholog_one2many	
NCU04533				
NCU04532				
NCU15331				
NCU04531				
NCU15330				
NCU04529				
NCU04528	YFL041W		ortholog_many2many	
NCU12022				
NCU12021				
NCU06170				
NCU06169				
NCU06168	YKL191W	SPBC17D1.02	ortholog_one2one	ortholog_one2one
NCU06167				
NCU06166				
NCU15329				
NCU06165				
NCU06164				
NCU06163				
NCU17202				
NCU17203				
NCU06161				
NCU06160				
NCU15328				
NCU06159				
NCU06157				
NCU06156				
NCU17205				
NCU06155				
NCU06154				
NCU06153				
NCU06152				
NCU15327				
NCU15326				
NCU06150	YFR041C		ortholog_many2many	
NCU06150	YJL073W		ortholog_many2many	
NCU06150	YMR214W		ortholog_many2many	
NCU06150	YLR090W		ortholog_many2many	
NCU06150	YNL077W		ortholog_many2many	
NCU06149	YDL160C	SPBC776.09	ortholog_one2one	ortholog_one2one
NCU17208				
NCU15325				
NCU06148				
NCU15324				
NCU06147				
NCU06146				
NCU06145				
NCU06144	YGL216W	SPBC2F12.13	ortholog_one2one	ortholog_one2many
NCU06144	YGL216W	SPBC1685.15c	ortholog_one2one	ortholog_one2many
NCU06143				
NCU06142				
NCU15323				
NCU06141	YPL172C	SPBC365.02c	ortholog_one2one	ortholog_one2one
NCU06140				
NCU06139				
NCU06138				
NCU06137				
NCU06136				
NCU06135				
NCU06134				
NCU06133				
NCU06132				
NCU06131				
NCU06130				
NCU06129				
NCU06128				
NCU06127				
NCU06126				
NCU06125				
NCU06124				
NCU15322				
NCU06123				
NCU15321				
NCU14156				
NCU06122		SPBC646.12c		ortholog_one2one
NCU15320				
NCU06121				
NCU06120				
NCU06119				
NCU06118	YJL010C	SPAC6G9.02c	ortholog_one2one	ortholog_one2one
NCU06117				
NCU06116				
NCU06114				
NCU06113	YOR289W	SPAC688.03c	ortholog_one2one	ortholog_one2one
NCU06112				
NCU06111	YHR022C		ortholog_one2one	
NCU06110	YGR144W	SPBC26H8.01	ortholog_one2one	ortholog_one2one
NCU06109				
NCU06108	YGL221C	SPCC126.12	ortholog_one2one	ortholog_one2one
NCU06107	YGL220W	SPAC8C9.11	ortholog_one2one	ortholog_one2one
NCU06106				
NCU06105	YDR358W	SPAC1F3.05	ortholog_one2many	ortholog_one2many
NCU06105	YHR108W	SPAC1F3.05	ortholog_one2many	ortholog_one2many
NCU06105	YDR358W	SPBC25H2.16c	ortholog_one2many	ortholog_one2many
NCU06105	YHR108W	SPBC25H2.16c	ortholog_one2many	ortholog_one2many
NCU06104	YOR006C	SPAC1F3.04c	ortholog_one2one	ortholog_one2one
NCU06103	YOL023W	SPBC1271.15c	ortholog_one2one	ortholog_one2one
NCU06102				
NCU06101				
NCU06099	YGR054W	SPBC4B4.04	ortholog_one2one	ortholog_one2one
NCU06098				
NCU06096				
NCU06095				
NCU06094				
NCU10715		SPBC646.08c		ortholog_one2one
NCU06091	YDR372C	SPAC5D6.13	ortholog_one2one	ortholog_one2one
NCU06090				
NCU06089	YDR263C	SPBC29A10.05	ortholog_one2many	ortholog_one2one
NCU06089	YOR033C	SPBC29A10.05	ortholog_one2many	ortholog_one2one
NCU06088	YOR252W		ortholog_one2one	
NCU17215				
NCU06086	YIL070C	SPBC776.07	ortholog_one2one	ortholog_one2one
NCU06085	YIL067C		ortholog_one2many	
NCU06084		SPAC3G6.10c		ortholog_one2one
NCU17216				
NCU06083				
NCU06082				
NCU06081				
NCU06080				
NCU06079				
NCU06078				
NCU14155				
NCU06077				
NCU06076				
NCU06075	YAL038W	SPAC4H3.10c	ortholog_one2many	ortholog_one2one
NCU06075	YOR347C	SPAC4H3.10c	ortholog_one2many	ortholog_one2one
NCU06074				
NCU06073				
NCU06072				
NCU15319				
NCU06071	YDL144C		ortholog_one2one	
NCU06070				
NCU15318				
NCU06069				
NCU06068	YOR337W		ortholog_many2many	
NCU06067				
NCU06066				
NCU06065				
NCU15317				
NCU06064				
NCU15316				
NCU06063				
NCU06062				
NCU06061				
NCU15315				
NCU15314				
NCU06060				
NCU15313				
NCU06059		SPCC736.09c		ortholog_one2one
NCU06058				
NCU06057	YJR013W	SPBC13E7.05	ortholog_one2one	ortholog_one2one
NCU06056				
NCU06055				
NCU06054	YHR190W	SPBC646.05c	ortholog_one2one	ortholog_one2one
NCU10683				
NCU06052	YIR004W	SPBC3E7.11c	ortholog_one2one	ortholog_one2many
NCU06052	YIR004W	SPAC4H3.01	ortholog_one2one	ortholog_one2many
NCU06051	YMR073C		ortholog_one2one	
NCU06050				
NCU06049				
NCU06048	YOR182C	SPBC19G7.03c	ortholog_one2many	ortholog_one2many
NCU06048	YLR287C-A	SPBC19G7.03c	ortholog_one2many	ortholog_one2many
NCU06048	YOR182C	SPAC19B12.04	ortholog_one2many	ortholog_one2many
NCU06048	YLR287C-A	SPAC19B12.04	ortholog_one2many	ortholog_one2many
NCU06047	YGL123W	SPCC576.08c	ortholog_one2one	ortholog_one2one
NCU06046				
NCU06045				
NCU06043	YDR384C	SPAC5D6.09c	ortholog_one2many	ortholog_one2one
NCU06043	YNR002C	SPAC5D6.09c	ortholog_one2many	ortholog_one2one
NCU06043	YCR010C	SPAC5D6.09c	ortholog_one2many	ortholog_one2one
NCU06042	YJR051W	SPAC17A2.05	ortholog_one2many	ortholog_one2one
NCU06042	YEL047C	SPAC17A2.05	ortholog_one2many	ortholog_one2one
NCU06041				
NCU06040				
NCU06039	YPL247C	SPBC17D11.08	ortholog_one2one	ortholog_one2one
NCU06038				
NCU17224				
NCU06037		SPCC825.04c		ortholog_one2one
NCU17225				
NCU06035	YAL003W	SPCC1450.04	ortholog_one2one	ortholog_one2one
NCU06034				
NCU06033	YDR434W	SPAC1F12.09	ortholog_one2one	ortholog_one2one
NCU06032	YBR041W		ortholog_one2one	
NCU06031	YBL064C		ortholog_one2one	
NCU06030				
NCU06029	YGR277C	SPAC1F12.08	ortholog_one2one	ortholog_one2one
NCU15312				
NCU06028				
NCU06027				
NCU06026				
NCU06025				
NCU06024				
NCU06023				
NCU06022				
NCU06021	YPR169W	SPAC1A6.02	ortholog_one2one	ortholog_one2one
NCU06020				
NCU17227				
NCU06019				
NCU11006				
NCU06018				
NCU06017	YOR251C	SPCC4B3.01	ortholog_one2one	ortholog_one2one
NCU11300	YDL008W	SPAC343.03	ortholog_one2one	ortholog_one2one
NCU02461				
NCU02460	YPL232W	SPCC825.03c	ortholog_many2many	ortholog_one2many
NCU02460	YMR183C	SPCC825.03c	ortholog_many2many	ortholog_one2many
NCU02459	YJR008W	SPAC4H3.04c	ortholog_one2one	ortholog_one2one
NCU02458				
NCU02457		SPCC553.07c		ortholog_one2one
NCU02456				
NCU02455				
NCU14154				
NCU02453				
NCU02452				
NCU02451	YML030W		ortholog_one2one	
NCU02450	YER086W	SPBC1677.03c	ortholog_one2one	ortholog_one2one
NCU15311				
NCU15310				
NCU02438	YDR148C	SPBC776.15c	ortholog_one2one	ortholog_one2one
NCU11258				
NCU02437	YDR225W	SPCC622.08c	ortholog_one2one	ortholog_one2many
NCU02437	YDR225W	SPAC19G12.06c	ortholog_one2one	ortholog_one2many
NCU14153				
NCU02436				
NCU02435	YDR224C	SPCC622.09	ortholog_one2many	ortholog_one2one
NCU02435	YBL002W	SPCC622.09	ortholog_one2many	ortholog_one2one
NCU02434		SPBC30B4.02c		ortholog_one2many
NCU02434		SPCC1442.13c		ortholog_one2many
NCU02433	YNL223W	SPAC19B12.08	ortholog_one2one	ortholog_one2one
NCU02432				
NCU02431		SPAC6B12.07c		ortholog_one2one
NCU02430	YLL058W	SPBC15D4.09c	ortholog_one2many	ortholog_one2one
NCU02430	YJR130C	SPBC15D4.09c	ortholog_one2many	ortholog_one2one
NCU02430	YML082W	SPBC15D4.09c	ortholog_one2many	ortholog_one2one
NCU02429				
NCU02428	YLR186W	SPAC18G6.07c	ortholog_one2one	ortholog_one2one
NCU02425	YIL105C		ortholog_one2many	
NCU02425	YNL047C		ortholog_one2many	
NCU02425	YGR097W		ortholog_one2many	
NCU02425	YPR115W		ortholog_one2many	
NCU02424				
NCU02423	YKR052C	SPAC8C9.12c	ortholog_one2many	ortholog_one2one
NCU02423	YJL133W	SPAC8C9.12c	ortholog_one2many	ortholog_one2one
NCU02422	YDL149W	SPBC15D4.07c	ortholog_one2one	ortholog_one2one
NCU02421	YNL041C	SPBC776.10c	ortholog_one2one	ortholog_one2one
NCU02420	YPL074W	SPBC947.01	ortholog_one2many	ortholog_one2one
NCU02420	YER047C	SPBC947.01	ortholog_one2many	ortholog_one2one
NCU02419				
NCU02418	YDL146W	SPBC24C6.10c	ortholog_one2one	ortholog_one2one
NCU02417	YPR051W	SPBC15D4.06	ortholog_one2one	ortholog_one2one
NCU02416	YNR008W	SPBC776.14	ortholog_one2one	ortholog_one2one
NCU02415	YIL108W	SPAC607.06c	ortholog_one2one	ortholog_one2one
NCU02414	YDR211W	SPAC8C9.15c	ortholog_one2one	ortholog_one2one
NCU17230				
NCU02413				
NCU02412				
NCU17231				
NCU02411		SPAC6G9.06c		ortholog_one2one
NCU02410				
NCU02409	YLR386W	SPBC25H2.03	ortholog_one2one	ortholog_one2one
NCU02408				
NCU02407	YFL018C	SPAC1002.09c	ortholog_one2one	ortholog_one2one
NCU02406	YLR336C	SPAC24C9.11	ortholog_one2one	ortholog_one2one
NCU02405				
NCU02404	YNL004W	SPAC328.05	ortholog_one2many	ortholog_one2one
NCU02404	YCL011C	SPAC328.05	ortholog_one2many	ortholog_one2one
NCU17232				
NCU02403	YLR201C	SPAC19G12.11	ortholog_one2one	ortholog_one2one
NCU02402	YLR383W	SPCC5E4.06	ortholog_one2one	ortholog_one2one
NCU02401		SPAC1002.10c		ortholog_one2one
NCU02400	YOR197W	SPCC1840.04	ortholog_one2many	ortholog_one2many
NCU15309				
NCU02399				
NCU02398				
NCU15308				
NCU02397	YGR087C	SPAC3G9.11c	ortholog_one2many	ortholog_one2many
NCU02397	YLR134W	SPAC3G9.11c	ortholog_one2many	ortholog_one2many
NCU02397	YDL080C	SPAC3G9.11c	ortholog_one2many	ortholog_one2many
NCU02397	YLR044C	SPAC3G9.11c	ortholog_one2many	ortholog_one2many
NCU02397	YGR087C	SPAC13A11.06	ortholog_one2many	ortholog_one2many
NCU02397	YLR134W	SPAC13A11.06	ortholog_one2many	ortholog_one2many
NCU02397	YDL080C	SPAC13A11.06	ortholog_one2many	ortholog_one2many
NCU02397	YLR044C	SPAC13A11.06	ortholog_one2many	ortholog_one2many
NCU02396	YGR029W	SPAC3G6.08	ortholog_one2one	ortholog_one2one
NCU02395	YOR278W	SPAC31G5.08	ortholog_one2one	ortholog_one2one
NCU02394				
NCU02393	YGR040W	SPAC31G5.09c	ortholog_many2many	ortholog_one2one
NCU15307				
NCU02391	YIL109C	SPAC22F8.08	ortholog_one2many	ortholog_one2one
NCU02391	YNL049C	SPAC22F8.08	ortholog_one2many	ortholog_one2one
NCU02390				
NCU02389				
NCU02388				
NCU02387	YDR335W	SPAC328.01c	ortholog_one2one	ortholog_one2one
NCU02386				
NCU02385	YGL232W	SPBC25H2.10c	ortholog_one2one	ortholog_one2one
NCU02383				
NCU10747				
NCU02382				
NCU02381	YER026C	SPCC1442.12	ortholog_one2one	ortholog_one2one
NCU02380	YIL078W	SPBC25H2.02	ortholog_one2one	ortholog_one2one
NCU02379				
NCU02378	YCR061W	SPBC3B8.06	ortholog_one2one	ortholog_one2one
NCU02377				
NCU02376				
NCU02375	YMR223W		ortholog_one2one	
NCU02374	YDR427W	SPAC607.05	ortholog_one2one	ortholog_one2one
NCU02373				
NCU02372	YGR001C		ortholog_one2one	
NCU02371				
NCU15306				
NCU02370				
NCU02369	YJR153W		ortholog_one2one	
NCU02368	YLR088W	SPAC1002.11	ortholog_one2one	ortholog_one2one
NCU02367		SPBC4.02c		ortholog_one2one
NCU02366	YLR304C	SPAC24C9.06c	ortholog_one2one	ortholog_one2one
NCU02365				
NCU02364				
NCU02363				
NCU02362				
NCU02361		SPAC869.04		ortholog_one2one
NCU02360				
NCU02359				
NCU02358	YGL056C	SPBC646.13	ortholog_one2many	ortholog_one2one
NCU02358	YBR214W	SPBC646.13	ortholog_one2many	ortholog_one2one
NCU02357	YMR308C	SPCC1840.03	ortholog_one2one	ortholog_one2one
NCU02356	YER132C		ortholog_many2many	
NCU02356	YGL197W		ortholog_many2many	
NCU02355				
NCU02354	YGR056W	SPBC4B4.03	ortholog_one2many	ortholog_one2one
NCU02354	YLR357W	SPBC4B4.03	ortholog_one2many	ortholog_one2one
NCU02353	YFL044C	SPAC24C9.14	ortholog_one2one	ortholog_one2one
NCU02352				
NCU02351		SPBC1289.01c		ortholog_one2one
NCU02350				
