fg,nc,nt
FGRAMPH1_01T15637,NCU08127,NEUTE1DRAFT_148227
FGRAMPH1_01T07977,NCU04262,NEUTE1DRAFT_118355
FGRAMPH1_01T22157,NCU07820,NEUTE1DRAFT_80879
FGRAMPH1_01T12563,NCU07619,NEUTE1DRAFT_120633
FGRAMPH1_01T14699,NCU08658,NEUTE1DRAFT_39574
FGRAMPH1_01T15445,NCU06513,NEUTE1DRAFT_120779
FGRAMPH1_01T15193,NCU01484,NEUTE1DRAFT_117265
FGRAMPH1_01T14389,NCU08683,NEUTE1DRAFT_109071
FGRAMPH1_01T11011,NCU02160,NEUTE1DRAFT_118459
FGRAMPH1_01T17651,NCU05967,NEUTE1DRAFT_69606
FGRAMPH1_01T02575,NCU07362,NEUTE1DRAFT_90365
FGRAMPH1_01T03419,NCU02956,NEUTE1DRAFT_150702
FGRAMPH1_01T17991,NCU00338,NEUTE1DRAFT_100918
FGRAMPH1_01T10313,NCU03168,NEUTE1DRAFT_91189
FGRAMPH1_01T10971,NCU07063,NEUTE1DRAFT_68286
FGRAMPH1_01T14163,NCU09155,NEUTE1DRAFT_80655
FGRAMPH1_01T10175,NCU02009,NEUTE1DRAFT_104778
FGRAMPH1_01T17781,NCU00023,NEUTE1DRAFT_62846
FGRAMPH1_01T17835,NCU07880,NEUTE1DRAFT_41464
FGRAMPH1_01T24753,NCU01435,NEUTE1DRAFT_56893
FGRAMPH1_01T17801,NCU07580,NEUTE1DRAFT_63958
FGRAMPH1_01T01161,NCU02728,NEUTE1DRAFT_133455
FGRAMPH1_01T16845,NCU06318,NEUTE1DRAFT_128675
FGRAMPH1_01T07989,NCU08928,NEUTE1DRAFT_127148
FGRAMPH1_01T03769,NCU06735,NEUTE1DRAFT_84047
FGRAMPH1_01T18763,NCU05836,NEUTE1DRAFT_68020
FGRAMPH1_01T01661,NCU01059,NEUTE1DRAFT_58018
FGRAMPH1_01T03119,NCU04941,NEUTE1DRAFT_108328
FGRAMPH1_01T10455,NCU00691,NEUTE1DRAFT_89708
FGRAMPH1_01T03397,NCU06068,NEUTE1DRAFT_67051
FGRAMPH1_01T11341,NCU09205,NEUTE1DRAFT_125863
FGRAMPH1_01T17633,NCU08294,NEUTE1DRAFT_78894
FGRAMPH1_01T19167,NCU05128,NEUTE1DRAFT_49031
FGRAMPH1_01T10697,NCU08334,NEUTE1DRAFT_149922
FGRAMPH1_01T26287,NCU06352,NEUTE1DRAFT_121061
FGRAMPH1_01T24283,NCU10763,NEUTE1DRAFT_81596
FGRAMPH1_01T10525,NCU03171,NEUTE1DRAFT_133256
FGRAMPH1_01T08323,NCU08397,NEUTE1DRAFT_66680
FGRAMPH1_01T27465,NCU07894,NEUTE1DRAFT_59649
FGRAMPH1_01T19497,NCU03802,NEUTE1DRAFT_76877
FGRAMPH1_01T27289,NCU07538,NEUTE1DRAFT_122564
FGRAMPH1_01T13467,NCU09201,NEUTE1DRAFT_90554
FGRAMPH1_01T12071,NCU09022,NEUTE1DRAFT_147678
FGRAMPH1_01T24315,NCU00039,NEUTE1DRAFT_109929
FGRAMPH1_01T21215,NCU09267,NEUTE1DRAFT_150970
FGRAMPH1_01T25657,NCU05935,NEUTE1DRAFT_124925
FGRAMPH1_01T08435,NCU10344,NEUTE1DRAFT_50205
FGRAMPH1_01T01111,NCU09141,NEUTE1DRAFT_72049
FGRAMPH1_01T23371,NCU07402,NEUTE1DRAFT_90433
FGRAMPH1_01T17169,NCU09532,NEUTE1DRAFT_115768
FGRAMPH1_01T26889,NCU05977,NEUTE1DRAFT_148948
FGRAMPH1_01T05005,NCU08882,NEUTE1DRAFT_59165
FGRAMPH1_01T26707,NCU07022,NEUTE1DRAFT_121519
FGRAMPH1_01T11243,NCU01905,NEUTE1DRAFT_133717
FGRAMPH1_01T24433,NCU06448,NEUTE1DRAFT_121907
FGRAMPH1_01T23069,NCU00350,NEUTE1DRAFT_117040
FGRAMPH1_01T18907,NCU10651,NEUTE1DRAFT_81274
FGRAMPH1_01T22311,NCU09582,NEUTE1DRAFT_102639
FGRAMPH1_01T00441,NCU02195,NEUTE1DRAFT_47799
FGRAMPH1_01T05167,NCU10675,NEUTE1DRAFT_42166
FGRAMPH1_01T15243,NCU01499,NEUTE1DRAFT_122874
FGRAMPH1_01T01903,NCU00730,NEUTE1DRAFT_125546
FGRAMPH1_01T17921,NCU07016,NEUTE1DRAFT_61488
FGRAMPH1_01T02775,NCU03209,NEUTE1DRAFT_105586
FGRAMPH1_01T20847,NCU04554,NEUTE1DRAFT_123756
FGRAMPH1_01T03423,NCU02954,NEUTE1DRAFT_119171
FGRAMPH1_01T18635,NCU00775,NEUTE1DRAFT_118602
FGRAMPH1_01T26749,NCU07697,NEUTE1DRAFT_116362
FGRAMPH1_01T17359,NCU01788,NEUTE1DRAFT_123081
FGRAMPH1_01T16577,NCU04592,NEUTE1DRAFT_116080
FGRAMPH1_01T24465,NCU05694,NEUTE1DRAFT_62127
FGRAMPH1_01T13583,NCU06132,NEUTE1DRAFT_117741
FGRAMPH1_01T05025,NCU07788,NEUTE1DRAFT_59081
FGRAMPH1_01T23763,NCU06112,NEUTE1DRAFT_123823
FGRAMPH1_01T07553,NCU07787,NEUTE1DRAFT_116175
FGRAMPH1_01T15321,NCU02197,NEUTE1DRAFT_47965
FGRAMPH1_01T07607,NCU04603,NEUTE1DRAFT_116087
FGRAMPH1_01T21447,NCU05708,NEUTE1DRAFT_121791
FGRAMPH1_01T12297,NCU05188,NEUTE1DRAFT_61928
FGRAMPH1_01T27901,NCU07916,NEUTE1DRAFT_78296
FGRAMPH1_01T18003,NCU00097,NEUTE1DRAFT_146316
FGRAMPH1_01T13131,NCU08058,NEUTE1DRAFT_132332
FGRAMPH1_01T00473,NCU08072,NEUTE1DRAFT_132341
FGRAMPH1_01T23383,NCU09117,NEUTE1DRAFT_90798
FGRAMPH1_01T01547,NCU09331,NEUTE1DRAFT_96856
FGRAMPH1_01T18105,NCU00281,NEUTE1DRAFT_146465
FGRAMPH1_01T23607,NCU00108,NEUTE1DRAFT_129656
FGRAMPH1_01T05179,NCU10512,NEUTE1DRAFT_59697
FGRAMPH1_01T08453,NCU00875,NEUTE1DRAFT_55417
FGRAMPH1_01T26401,NCU07938,NEUTE1DRAFT_120742
FGRAMPH1_01T16339,NCU05207,NEUTE1DRAFT_80564
FGRAMPH1_01T05895,NCU04886,NEUTE1DRAFT_78053
FGRAMPH1_01T08045,NCU04997,NEUTE1DRAFT_149100
FGRAMPH1_01T19629,NCU05246,NEUTE1DRAFT_80472
FGRAMPH1_01T19311,NCU09479,NEUTE1DRAFT_82983
FGRAMPH1_01T18317,NCU03318,NEUTE1DRAFT_125984
FGRAMPH1_01T26647,NCU05191,NEUTE1DRAFT_40103
FGRAMPH1_01T26375,NCU04496,NEUTE1DRAFT_79253
FGRAMPH1_01T18271,NCU00287,NEUTE1DRAFT_129794
FGRAMPH1_01T20173,NCU02386,NEUTE1DRAFT_123961
FGRAMPH1_01T06215,NCU07621,NEUTE1DRAFT_135699
FGRAMPH1_01T14189,NCU04819,NEUTE1DRAFT_49498
FGRAMPH1_01T01935,NCU00860,NEUTE1DRAFT_125636
FGRAMPH1_01T27421,NCU11414,NEUTE1DRAFT_77903
FGRAMPH1_01T02317,NCU02075,NEUTE1DRAFT_132552
FGRAMPH1_01T19623,NCU08693,NEUTE1DRAFT_79782
FGRAMPH1_01T27003,NCU03982,NEUTE1DRAFT_69229
FGRAMPH1_01T02095,NCU09602,NEUTE1DRAFT_117606
FGRAMPH1_01T03595,NCU03436,NEUTE1DRAFT_84638
FGRAMPH1_01T17523,NCU06563,NEUTE1DRAFT_120821
FGRAMPH1_01T26211,NCU06630,NEUTE1DRAFT_59886
FGRAMPH1_01T26657,NCU08301,NEUTE1DRAFT_99301
FGRAMPH1_01T05541,NCU09800,NEUTE1DRAFT_48632
FGRAMPH1_01T25163,NCU07610,NEUTE1DRAFT_40597
FGRAMPH1_01T04141,NCU05881,NEUTE1DRAFT_124281
FGRAMPH1_01T17439,NCU00786,NEUTE1DRAFT_89881
FGRAMPH1_01T25463,NCU04626,NEUTE1DRAFT_107900
FGRAMPH1_01T12013,NCU00755,NEUTE1DRAFT_89836
FGRAMPH1_01T19671,NCU07720,NEUTE1DRAFT_78677
FGRAMPH1_01T07839,NCU02328,NEUTE1DRAFT_86146
FGRAMPH1_01T06275,NCU05192,NEUTE1DRAFT_80599
FGRAMPH1_01T20825,NCU09287,NEUTE1DRAFT_66316
FGRAMPH1_01T08415,NCU05317,NEUTE1DRAFT_121572
FGRAMPH1_01T17623,NCU07309,NEUTE1DRAFT_79931
FGRAMPH1_01T18565,NCU06027,NEUTE1DRAFT_85813
FGRAMPH1_01T13939,NCU04358,NEUTE1DRAFT_60868
FGRAMPH1_01T27075,NCU08097,NEUTE1DRAFT_149191
FGRAMPH1_01T10777,NCU05995,NEUTE1DRAFT_69530
FGRAMPH1_01T01785,NCU00904,NEUTE1DRAFT_125674
FGRAMPH1_01T10645,NCU02179,NEUTE1DRAFT_89060
FGRAMPH1_01T12151,NCU08126,NEUTE1DRAFT_124140
FGRAMPH1_01T15411,NCU07173,NEUTE1DRAFT_119351
FGRAMPH1_01T03179,NCU09115,NEUTE1DRAFT_150004
FGRAMPH1_01T09653,NCU02031,NEUTE1DRAFT_89378
FGRAMPH1_01T23711,NCU06675,NEUTE1DRAFT_35196
FGRAMPH1_01T25547,NCU11331,NEUTE1DRAFT_102124
FGRAMPH1_01T04397,NCU05780,NEUTE1DRAFT_117950
FGRAMPH1_01T05129,NCU02194,NEUTE1DRAFT_117897
FGRAMPH1_01T09395,NCU05928,NEUTE1DRAFT_124927
FGRAMPH1_01T09393,NCU05929,NEUTE1DRAFT_141030
FGRAMPH1_01T26579,NCU03468,NEUTE1DRAFT_84696
FGRAMPH1_01T26587,NCU06556,NEUTE1DRAFT_94197
FGRAMPH1_01T05839,NCU11395,NEUTE1DRAFT_85138
FGRAMPH1_01T07595,NCU10546,NEUTE1DRAFT_97785
FGRAMPH1_01T18131,NCU00010,NEUTE1DRAFT_81506
FGRAMPH1_01T20779,NCU05029,NEUTE1DRAFT_69865
FGRAMPH1_01T27301,NCU08172,NEUTE1DRAFT_124179
FGRAMPH1_01T12545,NCU02085,NEUTE1DRAFT_89265
FGRAMPH1_01T14155,NCU09719,NEUTE1DRAFT_66770
FGRAMPH1_01T16639,NCU05046,NEUTE1DRAFT_88512
FGRAMPH1_01T14829,NCU07966,NEUTE1DRAFT_144929
FGRAMPH1_01T16831,NCU08147,NEUTE1DRAFT_86499
FGRAMPH1_01T17943,NCU06444,NEUTE1DRAFT_121903
FGRAMPH1_01T22571,NCU08791,NEUTE1DRAFT_64217
FGRAMPH1_01T23035,NCU00355,NEUTE1DRAFT_63531
FGRAMPH1_01T22475,NCU00251,NEUTE1DRAFT_146441
FGRAMPH1_01T03823,NCU03355,NEUTE1DRAFT_84489
FGRAMPH1_01T11967,NCU05843,NEUTE1DRAFT_86715
FGRAMPH1_01T01353,NCU03257,NEUTE1DRAFT_90987
FGRAMPH1_01T03953,NCU16525,NEUTE1DRAFT_123310
FGRAMPH1_01T01613,NCU09468,NEUTE1DRAFT_117196
FGRAMPH1_01T01037,NCU09132,NEUTE1DRAFT_90760
FGRAMPH1_01T13677,NCU00847,NEUTE1DRAFT_51060
FGRAMPH1_01T08233,NCU00699,NEUTE1DRAFT_52109
FGRAMPH1_01T02963,NCU05154,NEUTE1DRAFT_113216
FGRAMPH1_01T13253,NCU09055,NEUTE1DRAFT_147701
FGRAMPH1_01T10715,NCU10075,NEUTE1DRAFT_105963
FGRAMPH1_01T07827,NCU04251,NEUTE1DRAFT_75235
FGRAMPH1_01T05957,NCU05239,NEUTE1DRAFT_80490
FGRAMPH1_01T16869,NCU06311,NEUTE1DRAFT_79149
FGRAMPH1_01T06751,NCU05818,NEUTE1DRAFT_131546
FGRAMPH1_01T26841,NCU03173,NEUTE1DRAFT_126114
FGRAMPH1_01T18151,NCU06493,NEUTE1DRAFT_62526
FGRAMPH1_01T26667,NCU05206,NEUTE1DRAFT_80570
FGRAMPH1_01T07147,NCU09410,NEUTE1DRAFT_131058
FGRAMPH1_01T00501,NCU00547,NEUTE1DRAFT_74167
FGRAMPH1_01T05559,NCU10239,NEUTE1DRAFT_93230
FGRAMPH1_01T26671,NCU07024,NEUTE1DRAFT_121521
FGRAMPH1_01T07795,NCU09842,NEUTE1DRAFT_97364
FGRAMPH1_01T15415,NCU07171,NEUTE1DRAFT_143590
FGRAMPH1_01T07973,NCU04247,NEUTE1DRAFT_127218
FGRAMPH1_01T11947,NCU09343,NEUTE1DRAFT_83104
FGRAMPH1_01T15069,NCU05953,NEUTE1DRAFT_148974
FGRAMPH1_01T23443,NCU00477,NEUTE1DRAFT_82484
FGRAMPH1_01T10833,NCU02173,NEUTE1DRAFT_149310
FGRAMPH1_01T18775,NCU08447,NEUTE1DRAFT_122806
FGRAMPH1_01T11769,NCU07649,NEUTE1DRAFT_77999
FGRAMPH1_01T26395,NCU07941,NEUTE1DRAFT_78242
FGRAMPH1_01T15015,NCU01523,NEUTE1DRAFT_130332
FGRAMPH1_01T19767,NCU06404,NEUTE1DRAFT_78959
FGRAMPH1_01T20681,NCU08477,NEUTE1DRAFT_146975
FGRAMPH1_01T18367,NCU08615,NEUTE1DRAFT_93419
FGRAMPH1_01T16527,NCU00776,NEUTE1DRAFT_125579
FGRAMPH1_01T10925,NCU08221,NEUTE1DRAFT_110473
FGRAMPH1_01T19141,NCU01121,NEUTE1DRAFT_144278
FGRAMPH1_01T26495,NCU00780,NEUTE1DRAFT_71181
FGRAMPH1_01T00443,NCU02196,NEUTE1DRAFT_86430
FGRAMPH1_01T01357,NCU03247,NEUTE1DRAFT_91003
FGRAMPH1_01T05035,NCU07743,NEUTE1DRAFT_77690
FGRAMPH1_01T01287,NCU08117,NEUTE1DRAFT_70133
FGRAMPH1_01T26119,NCU02430,NEUTE1DRAFT_131251
FGRAMPH1_01T11149,NCU05093,NEUTE1DRAFT_88452
FGRAMPH1_01T06591,NCU05618,NEUTE1DRAFT_87409
FGRAMPH1_01T01509,NCU04418,NEUTE1DRAFT_60728
FGRAMPH1_01T23067,NCU00352,NEUTE1DRAFT_82209
FGRAMPH1_01T01513,NCU06281,NEUTE1DRAFT_79192
FGRAMPH1_01T28107,NCU03592,NEUTE1DRAFT_58590
FGRAMPH1_01T03479,NCU01645,NEUTE1DRAFT_44221
FGRAMPH1_01T01617,NCU01748,NEUTE1DRAFT_123051
FGRAMPH1_01T27669,NCU09881,NEUTE1DRAFT_125761
FGRAMPH1_01T06855,NCU04244,NEUTE1DRAFT_56564
FGRAMPH1_01T21879,NCU09549,NEUTE1DRAFT_97696
FGRAMPH1_01T03925,NCU05363,NEUTE1DRAFT_117508
FGRAMPH1_01T02967,NCU07367,NEUTE1DRAFT_118706
FGRAMPH1_01T01423,NCU02840,NEUTE1DRAFT_118564
FGRAMPH1_01T27449,NCU09793,NEUTE1DRAFT_103645
FGRAMPH1_01T20201,NCU08267,NEUTE1DRAFT_121019
FGRAMPH1_01T02993,NCU02685,NEUTE1DRAFT_126385
FGRAMPH1_01T08647,NCU06523,NEUTE1DRAFT_38613
FGRAMPH1_01T04047,NCU09831,NEUTE1DRAFT_128118
FGRAMPH1_01T25487,NCU07609,NEUTE1DRAFT_77978
FGRAMPH1_01T09703,NCU09039,NEUTE1DRAFT_48003
FGRAMPH1_01T26863,NCU04069,NEUTE1DRAFT_118175
FGRAMPH1_01T04157,NCU05342,NEUTE1DRAFT_123297
FGRAMPH1_01T23967,NCU09567,NEUTE1DRAFT_85342
FGRAMPH1_01T07211,NCU04001,NEUTE1DRAFT_49802
FGRAMPH1_01T07727,NCU08925,NEUTE1DRAFT_36333
FGRAMPH1_01T15855,NCU04752,NEUTE1DRAFT_87092
FGRAMPH1_01T22719,NCU07100,NEUTE1DRAFT_118016
FGRAMPH1_01T27517,NCU03921,NEUTE1DRAFT_124799
FGRAMPH1_01T06361,NCU05789,NEUTE1DRAFT_117956
FGRAMPH1_01T18337,NCU07931,NEUTE1DRAFT_78263
FGRAMPH1_01T09569,NCU05558,NEUTE1DRAFT_87502
FGRAMPH1_01T26927,NCU04796,NEUTE1DRAFT_68512
FGRAMPH1_01T14825,NCU09646,NEUTE1DRAFT_77879
FGRAMPH1_01T10191,NCU09906,NEUTE1DRAFT_88708
FGRAMPH1_01T23225,NCU01369,NEUTE1DRAFT_76089
FGRAMPH1_01T27963,NCU05923,NEUTE1DRAFT_50117
FGRAMPH1_01T10791,NCU00575,NEUTE1DRAFT_126829
FGRAMPH1_01T15079,NCU09349,NEUTE1DRAFT_83093
FGRAMPH1_01T17119,NCU07670,NEUTE1DRAFT_120957
FGRAMPH1_01T13029,NCU01104,NEUTE1DRAFT_35647
FGRAMPH1_01T17029,NCU04338,NEUTE1DRAFT_39436
FGRAMPH1_01T18931,NCU01234,NEUTE1DRAFT_107425
FGRAMPH1_01T23309,NCU07420,NEUTE1DRAFT_118730
FGRAMPH1_01T20477,NCU06149,NEUTE1DRAFT_46597
FGRAMPH1_01T10351,NCU04786,NEUTE1DRAFT_87171
FGRAMPH1_01T16821,NCU04445,NEUTE1DRAFT_99530
FGRAMPH1_01T10213,NCU00631,NEUTE1DRAFT_150877
FGRAMPH1_01T15791,NCU08038,NEUTE1DRAFT_121328
FGRAMPH1_01T01771,NCU00911,NEUTE1DRAFT_118645
FGRAMPH1_01T13473,NCU09990,NEUTE1DRAFT_147672
FGRAMPH1_01T18799,NCU04697,NEUTE1DRAFT_87009
FGRAMPH1_01T00281,NCU05956,NEUTE1DRAFT_148971
FGRAMPH1_01T03979,NCU06303,NEUTE1DRAFT_60491
FGRAMPH1_01T02835,NCU03079,NEUTE1DRAFT_133332
FGRAMPH1_01T14893,NCU08029,NEUTE1DRAFT_79737
FGRAMPH1_01T03457,NCU02456,NEUTE1DRAFT_67174
FGRAMPH1_01T20139,NCU02400,NEUTE1DRAFT_139815
FGRAMPH1_01T19959,NCU02274,NEUTE1DRAFT_117868
FGRAMPH1_01T10291,NCU00667,NEUTE1DRAFT_93137
FGRAMPH1_01T07483,NCU01285,NEUTE1DRAFT_115877
FGRAMPH1_01T07593,NCU04641,NEUTE1DRAFT_11871
FGRAMPH1_01T08995,NCU03512,NEUTE1DRAFT_84777
FGRAMPH1_01T17127,NCU08310,NEUTE1DRAFT_145189
FGRAMPH1_01T17151,NCU07668,NEUTE1DRAFT_120959
