Orthogroup	GCA_900044135.1_GZPH1RResV1_protein	GCF_000182925.2_NC12_protein	GCF_000213175.1_v2.0_protein
OG0000010	CEF74548.1, CEF78866.1, CEF83013.1, CEF83139.1, CEF83757.1, CEF84059.1, CEF84135.1, CEF84440.1, CEF84727.1, CEF88507.1, CEF88681.1, SCB64345.1, SCB64382.1, SCB64415.1, SCB65714.1, SCB65722.1, SCB65792.1, SCB65831.1, SCB65881.1	XP_011392818.1, XP_011392819.1	XP_009855562.1
OG0000011	CEF71860.1, CEF71910.1, CEF74569.1, CEF74589.1, CEF74894.1, CEF76291.1, CEF76304.1, CEF77228.1, CEF77513.1, CEF78157.1, CEF78789.1, CEF78821.1, CEF79649.1, CEF82854.1, CEF83467.1, CEF85072.1, CEF86615.1, SCB65974.1	XP_965499.1	XP_009856864.1
OG0000012			XP_009847179.1, XP_009848736.1, XP_009848751.1, XP_009848767.1, XP_009848787.1, XP_009848791.1, XP_009848801.1, XP_009848842.1, XP_009850230.1, XP_009850265.1, XP_009851554.1, XP_009851594.1, XP_009851621.1, XP_009851645.1, XP_009851669.1, XP_009852771.1, XP_009854869.1, XP_009855354.1, XP_009855716.1, XP_009856398.1
OG0000013	CEF74424.1, CEF74645.1, CEF75865.1, CEF76372.1, CEF76374.1, CEF77805.1, CEF77806.1, CEF83186.1, CEF84083.1, CEF84488.1, CEF85509.1, CEF86065.1, CEF88321.1, SCB64006.1, SCB65399.1, SCB65545.1, SCB65975.1	XP_001728229.2, XP_959887.1	
OG0000014	CEF71971.1, CEF71990.1, CEF75987.1, CEF76093.1, CEF76472.1, CEF78285.1, CEF78710.1, CEF79640.1, CEF79641.1, CEF83205.1, CEF84255.1, CEF86215.1, CEF86412.1, CEF87122.1, CEF88308.1, SCB64308.1, SCB64407.1, SCB64687.1, SCB65304.1		
OG0000015	CEF74195.1, CEF75898.1, CEF77258.1, CEF77855.1, CEF85911.1, CEF86981.1, CEF87756.1, CEF87801.1	XP_011394847.1, XP_956812.3, XP_958290.2, XP_958992.3, XP_961786.2	XP_009847143.1, XP_009847657.1, XP_009849152.1, XP_009852624.1, XP_009852935.1
OG0000016	CEF73938.1, CEF76286.1, CEF77962.1, CEF79783.1, CEF83643.1, CEF84247.1, CEF84892.1, CEF85122.1, CEF87939.1, SCB64009.1, SCB64400.1, SCB65053.1, SCB65140.1, SCB65554.1, SCB65873.1	XP_961370.2	XP_009848377.1
OG0000017	CEF75730.1, CEF76531.1, CEF76533.1, CEF76616.1, CEF78781.1, CEF83523.1, CEF85488.1, CEF85593.1, CEF85685.1, CEF86093.1, CEF86151.1, CEF86950.1, CEF87000.1, CEF87330.1, SCB65800.1	XP_961439.1	XP_009847947.1
OG0000018	CEF77777.1, CEF77935.1, CEF78041.1, CEF78347.1, CEF78394.1, CEF78475.1, CEF78698.1, CEF85641.1, CEF85964.1, CEF86213.1, CEF88623.1, SCB64418.1, SCB64659.1, SCB65331.1, SCB65723.1, SCB66003.1		
OG0000019	CEF72115.1, CEF75882.1, CEF77920.1, CEF78215.1, CEF78337.1, CEF78448.1, CEF78926.1, CEF79713.1, CEF83063.1, CEF83348.1, CEF83844.1, CEF88218.1, SCB65052.1, SCB65222.1	XP_959542.3	XP_009853255.1
OG0000020	CEF72071.1, CEF74611.1, CEF74688.1, CEF76740.1, CEF78088.1, CEF78291.1, CEF79047.1, CEF86260.1, CEF86931.1, CEF88799.1, SCB64450.1, SCB65767.1	XP_011394131.1, XP_962188.1	XP_009850181.1, XP_009850183.1
OG0000021	CEF71949.1, CEF73901.1, CEF76111.1, CEF78294.1, CEF78762.1, CEF82932.1, CEF83735.1, CEF84077.1, CEF86365.1, CEF86424.1, CEF86641.1, CEF87448.1, CEF88845.1, SCB64622.1	XP_956352.2	XP_009854784.1
OG0000022	CEF71969.1, CEF75850.1, CEF76032.1, CEF79369.1, CEF79621.1, CEF79801.1, CEF83898.1, CEF85370.1, CEF85618.1, CEF87344.1, SCB65512.1, SCB65558.1, SCB65559.1, SCB65970.1	XP_963595.1	XP_009848513.1
OG0000023	CEF72079.1, CEF74011.1, CEF74571.1, CEF75018.1, CEF75894.1, CEF76246.1, CEF78341.1, CEF78689.1, CEF78979.1, CEF79014.1, CEF84817.1, CEF88266.1, SCB64988.1	XP_964136.1, XP_964137.1	XP_009855515.1
OG0000024	CEF71888.1, CEF75427.1, CEF77818.1, CEF77908.1, CEF78045.1, CEF78119.1, CEF78169.1, CEF78700.1, CEF79715.1, CEF84766.1, CEF85808.1, CEF86326.1, CEF87945.1, CEF88358.1, SCB65782.1		
OG0000025	CEF73961.1, CEF74473.1, CEF74562.1, CEF75851.1, CEF76463.1, CEF77597.1, CEF78055.1, CEF79754.1, CEF85251.1, CEF86918.1, CEF88114.1, CEF88354.1, SCB65062.1	XP_957392.1	XP_009847424.1
OG0000026	CEF71913.1, CEF75963.1, CEF76062.1, CEF77754.1, CEF79198.1, CEF84762.1, CEF85916.1, CEF85999.1, CEF87006.1, CEF87414.1, CEF87947.1, CEF88096.1, SCB64161.1	XP_963278.1	XP_009851789.1
OG0000027	CEF72118.1, CEF75881.1, CEF76072.1, CEF76455.1, CEF77634.1, CEF77717.1, CEF78022.1, CEF78335.1, CEF78594.1, CEF83423.1, CEF87675.1, CEF87897.1, SCB64395.1	XP_955820.1	XP_009854827.1
OG0000028	CEF74004.1, CEF77616.1, CEF77897.1, CEF78063.1, CEF82793.1, CEF83665.1, CEF85847.1, CEF86665.1, CEF88694.1, SCB65290.1, SCB65515.1, SCB65808.1, SCB66001.1	XP_955949.1	XP_009850574.1
OG0000029	CEF74595.1, CEF74699.1, CEF76158.1, CEF76416.1, CEF77804.1, CEF78659.1, CEF79376.1, CEF83003.1, CEF83062.1, CEF83995.1, CEF87833.1, CEF88509.1, CEF88719.1, SCB65578.1		
OG0000030	CEF73746.1, CEF75845.1, CEF76368.1, CEF76497.1, CEF79515.1, CEF79541.1, CEF87337.1, CEF87648.1, CEF88172.1, SCB65036.1, SCB65048.1, SCB65993.1	XP_965579.2	XP_009856922.1
OG0000031	CEF73945.1, CEF77756.1, CEF79815.1, CEF83042.1, CEF86360.1, CEF86504.1, CEF87808.1, CEF88812.1, SCB63992.1, SCB64302.1, SCB65042.1, SCB65097.1, SCB65715.1, SCB65786.1		
OG0000032	CEF71923.1, CEF74238.1, CEF76357.1, CEF77725.1, CEF77829.1, CEF78413.1, CEF82973.1, CEF84873.1, CEF85534.1, CEF86474.1, CEF87100.1, SCB65768.1	XP_961743.3	XP_009849212.1
OG0000033	CEF73735.1, CEF74350.1, CEF74353.1, CEF76065.1, CEF76487.1, CEF77558.1, CEF78315.1, CEF78666.1, CEF78730.1, CEF86088.1, CEF87273.1, SCB65571.1	XP_959490.1	XP_009853068.1
OG0000034	CEF71997.1, CEF71999.1, CEF76224.1, CEF84583.1, CEF85609.1, CEF86411.1, CEF87009.1, CEF87627.1, SCB64108.1, SCB64653.1, SCB65549.1, SCB65550.1	XP_962311.3	XP_009849355.1
OG0000035	CEF73855.1, CEF76769.1, CEF76813.1, CEF77617.1, CEF77795.1, CEF77898.1, CEF78723.1, CEF83145.1, CEF84064.1, SCB64809.1, SCB65809.1	XP_011394907.1, XP_011394908.1	XP_009854086.1
OG0000036	CEF76055.1, CEF76129.1, CEF76369.1, CEF84785.1, CEF86823.1	XP_011393667.1, XP_955809.1, XP_956503.2, XP_956504.2	XP_009851537.1, XP_009852004.1, XP_009852602.1, XP_009852603.1
OG0000037	CEF76457.1, CEF76511.1, CEF76619.1, CEF78593.1, CEF79613.1, CEF83143.1, CEF86251.1, CEF86577.1, SCB65019.1, SCB65713.1, SCB65875.1	XP_960553.1	XP_009854233.1
OG0000038	CEF72810.1, CEF75969.1, CEF76047.1, CEF76182.1, CEF76310.1, CEF76816.1, CEF77656.1, CEF77657.1, CEF78095.1, CEF78113.1, SCB65043.1	XP_958219.1	XP_009853041.1
OG0000039	CEF76256.1	XP_956109.2, XP_959499.1, XP_961662.1, XP_963702.1, XP_965498.1, XP_965598.1	XP_009848177.1, XP_009851521.1, XP_009852702.1, XP_009855709.1, XP_009856863.1, XP_009856944.1
OG0000040	CEF74006.1, CEF75010.1, CEF76219.1, CEF78132.1, CEF79689.1, CEF84704.1, CEF85234.1, CEF86600.1, CEF87458.1, CEF88047.1, SCB65845.1	XP_964381.2	XP_009855591.1
OG0000041	CEF72226.1, CEF76314.1, CEF76315.1, CEF76752.1, CEF77712.1, CEF78062.1, CEF78499.1, CEF82981.1, CEF88240.1, CEF88605.1, SCB64646.1	XP_956910.1	XP_009852090.1
OG0000042	CEF71802.1, CEF72729.1, CEF74862.1, CEF76532.1, CEF76537.1, CEF82835.1, CEF85010.1, CEF88147.1, SCB64448.1, SCB64947.1, SCB65574.1	XP_957192.1	XP_009852148.1
OG0000043	CEF71930.1, CEF72767.1, CEF74963.1, CEF76991.1, CEF77881.1, CEF78442.1, CEF84532.1, CEF85907.1, CEF85991.1, CEF86475.1, SCB65807.1	XP_965034.3	XP_009855082.1
OG0000044	CEF74422.1, CEF75428.1, CEF77854.1, CEF78051.1, CEF78118.1, CEF78283.1, CEF78317.1, CEF78502.1, CEF79788.1, CEF86679.1, CEF87924.1	XP_958043.1	XP_009847519.1
OG0000045	CEF83870.1, CEF84061.1, CEF84263.1, CEF85435.1, CEF86234.1, CEF87184.1, CEF88034.1, CEF88795.1, CEF88807.1, SCB66002.1	XP_011393432.1, XP_011393433.1	XP_009856939.1
OG0000046		XP_962734.2, XP_962736.2, XP_962737.1, XP_962738.1, XP_962807.1, XP_962808.1	XP_009848953.1, XP_009848954.1, XP_009848955.1, XP_009848956.1, XP_009848957.1, XP_009848958.1, XP_009848959.1
OG0000047		XP_963835.3, XP_963836.1, XP_963839.1, XP_963875.1, XP_965232.1, XP_965233.1, XP_965234.1	XP_009854920.1, XP_009854952.1, XP_009855039.1, XP_009855041.1, XP_009855044.1, XP_009855051.1
OG0000048			XP_009847049.1, XP_009847087.1, XP_009847157.1, XP_009848719.1, XP_009848781.1, XP_009850234.1, XP_009850272.1, XP_009851566.1, XP_009851661.1, XP_009852782.1, XP_009853819.1, XP_009855891.1, XP_009856473.1
OG0000049	CEF71924.1, CEF72095.1, CEF72260.1, CEF73891.1, CEF73981.1, CEF76358.1, CEF79782.1, CEF83439.1, CEF86513.1, SCB64364.1, SCB65726.1, SCB65869.1		
OG0000050	CEF71805.1, CEF72123.1, CEF76024.1, CEF76425.1, CEF79534.1, CEF79559.1, CEF88302.1, CEF88672.1, SCB65883.1	XP_961929.3	XP_009850058.1, XP_009850059.1
OG0000051	CEF76058.1, CEF85471.1	XP_956939.1, XP_957099.1, XP_958498.2, XP_959595.3, XP_960566.3	XP_009852808.1, XP_009852872.1, XP_009853179.1, XP_009854221.1, XP_009854726.1
OG0000052	CEF74680.1, CEF75995.1, CEF76488.1, CEF77223.1, CEF86964.1, CEF87207.1	XP_955938.1, XP_958135.3, XP_959122.2	XP_009848989.1, XP_009853831.1, XP_009854585.1
OG0000053	CEF72848.1	XP_011394316.1, XP_011394358.1, XP_956286.1, XP_956287.2, XP_957933.1, XP_961988.1	XP_009848699.1, XP_009848812.1, XP_009850035.1, XP_009850037.1, XP_009854809.1
OG0000054	CEF72113.1, CEF76127.1, CEF76288.1, CEF77961.1, CEF78176.1, CEF78313.1, CEF79468.1, CEF83828.1, CEF85553.1, CEF85788.1, CEF87714.1, CEF88543.1		
OG0000055	CEF72142.1, CEF72143.1, CEF72144.1, CEF72146.1, CEF74521.1, CEF74641.1, CEF76240.1, CEF77899.1, CEF79652.1, CEF85644.1, SCB64017.1, SCB65032.1		
OG0000056	CEF74671.1, CEF75019.1, CEF78479.1, CEF79330.1, CEF83719.1, CEF85470.1, CEF87071.1, CEF87729.1, CEF88665.1, SCB65781.1	XP_957068.2	XP_009849543.1
OG0000057	CEF78969.1, CEF78970.1, CEF78971.1, CEF79727.1	XP_958106.3, XP_958112.1, XP_958231.1, XP_958232.2	XP_009853830.1, XP_009853899.1, XP_009853918.1, XP_009854685.1
OG0000058		XP_958257.1, XP_959767.2, XP_960260.2, XP_961674.3, XP_962587.3, XP_963349.2	XP_009848170.1, XP_009848624.1, XP_009849484.1, XP_009851622.1, XP_009852714.1, XP_009853889.1
OG0000059			XP_009847079.1, XP_009850269.1, XP_009850278.1, XP_009850317.1, XP_009852724.1, XP_009853890.1, XP_009853910.1, XP_009854900.1, XP_009854934.1, XP_009856472.1, XP_009856910.1, XP_009857136.1
OG0000060	CEF78928.1	XP_011393060.1, XP_011393061.1, XP_011395397.1, XP_955911.2, XP_956313.1	XP_009849589.1, XP_009852483.1, XP_009852717.1, XP_009857025.1, XP_009857298.1
OG0000061	CEF74715.1, CEF76313.1, CEF76473.1, CEF76475.1, CEF79598.1, CEF79748.1, CEF83929.1, CEF87220.1, CEF88264.1, CEF88693.1, SCB64649.1		
OG0000062	CEF71850.1, CEF74259.1, CEF75097.1, CEF75942.1, CEF76115.1, CEF77231.1, CEF77532.1, CEF83862.1, CEF86756.1	XP_960029.1	XP_009853184.1
OG0000063	CEF72087.1, CEF74320.1, CEF79582.1, CEF82913.1, CEF85823.1, CEF86676.1, CEF88594.1, CEF88734.1, CEF88773.1	XP_960210.1	XP_009853784.1
OG0000064	CEF72804.1, CEF73659.1, CEF75032.1, CEF75941.1, CEF78374.1, CEF79297.1, CEF86687.1, CEF87754.1, SCB65467.1	XP_965578.1	XP_009856921.1
OG0000065	CEF74697.1, CEF76053.1, CEF76414.1, CEF78909.1, CEF79540.1, CEF79660.1, CEF85620.1, CEF86232.1, CEF87768.1	XP_011393626.1	XP_009851841.1
OG0000066	CEF72101.1, CEF73203.1, CEF75001.1, CEF77902.1, CEF79668.1, CEF85247.1, CEF88501.1, SCB64303.1, SCB65795.1	XP_959850.3	XP_009853735.1
OG0000067	CEF72488.1, CEF74520.1, CEF76352.1, CEF78603.1, CEF83948.1, CEF84855.1, CEF86920.1, CEF87085.1, SCB65027.1	XP_958609.1	XP_009851324.1
OG0000068	CEF76124.1, CEF76660.1, CEF77237.1, CEF78555.1, CEF78790.1, CEF83541.1, CEF85760.1, SCB63984.1, SCB65248.1	XP_961778.1	XP_009849166.1
OG0000069	CEF82985.1, CEF83227.1, CEF88276.1, SCB65310.1, SCB65338.1, SCB65339.1, SCB65341.1, SCB65522.1, SCB65772.1	XP_961794.1	XP_009850120.1
OG0000070	CEF71861.1, CEF73639.1, CEF77590.1, CEF78102.1, CEF86815.1, CEF87590.1, CEF88535.1, SCB65770.1, SCB65814.1	XP_965267.1	XP_009856053.1
OG0000071	CEF72454.1, CEF74369.1, CEF74373.1, CEF76521.1, CEF76939.1, CEF77980.1, CEF78573.1, CEF79446.1, CEF84007.1, CEF84811.1, CEF88880.1		
OG0000072	CEF75945.1, CEF84684.1, CEF86404.1, SCB65566.1	XP_011393052.1, XP_011393053.1, XP_011393054.1, XP_958464.3	XP_009847207.1, XP_009857005.1, XP_009857293.1
OG0000073	CEF78383.1, CEF84144.1, SCB64713.1, SCB64983.1, SCB65015.1, SCB65025.1, SCB65671.1, SCB65703.1	XP_011393288.1, XP_011393289.1	XP_009856838.1
OG0000074	CEF84989.1, CEF85268.1, CEF85948.1, CEF87422.1, CEF87645.1, CEF87975.1, CEF88025.1, SCB64715.1	XP_011394602.1, XP_011394603.1	XP_009848231.1
OG0000075		XP_011394360.1, XP_958397.1, XP_958398.1, XP_958399.1, XP_958400.1, XP_958403.1	XP_009848766.1, XP_009849008.1, XP_009849009.1, XP_009849010.1, XP_009849011.1
OG0000076		YP_009126702.1, YP_009126707.1, YP_009126709.1, YP_009126710.1, YP_009126711.1, YP_009126712.1, YP_009126713.1, YP_009126721.1, YP_009126722.1, YP_009126726.1, YP_009126727.1	
OG0000077	CEF73924.1, CEF76162.1, CEF76270.1, CEF78362.1, CEF83602.1, SCB65763.1	XP_959671.3, XP_964385.2	XP_009853573.1, XP_009855594.1
OG0000078	CEF72064.1, CEF77729.1, CEF78275.1, CEF78784.1, CEF79180.1, CEF79755.1, CEF83069.1, SCB64405.1	XP_957769.1	XP_009851070.1
OG0000079	CEF73906.1, CEF74649.1, CEF78512.1, CEF84486.1, CEF85698.1, CEF88382.1, SCB65056.1, SCB65517.1	XP_959429.2	XP_009853546.1
OG0000080	CEF72093.1, CEF74600.1, CEF74709.1, CEF78654.1, CEF79614.1, SCB65408.1	XP_011394093.1, XP_011394094.1, XP_011394095.1	XP_009849644.1
OG0000081	CEF73744.1, CEF73954.1, CEF76258.1, CEF76964.1, CEF88534.1	XP_011392950.1, XP_011392951.1, XP_957069.2	XP_009848743.1, XP_009855192.1
OG0000082	CEF73760.1, CEF73925.1, CEF74604.1, CEF83033.1, CEF83462.1, CEF83846.1, CEF86355.1, SCB65323.1	XP_001728134.1	XP_009850478.1
OG0000083	CEF71987.1, CEF74002.1, CEF75578.1, CEF77792.1, CEF77904.1, CEF78490.1, CEF85941.1, SCB64360.1	XP_956345.1	XP_009854790.1
OG0000084	CEF73153.1, CEF74037.1, CEF74438.1, CEF85622.1, CEF87179.1, CEF87960.1	XP_959835.3, XP_963049.1	XP_009850454.1, XP_009853264.1
OG0000085	CEF71960.1, CEF72774.1, CEF76080.1, CEF78899.1, CEF85288.1, CEF87700.1, SCB65319.1, SCB65465.1	XP_958476.3	XP_009855933.1
OG0000086	CEF74406.1, CEF74409.1, CEF76427.1, CEF79819.1, CEF86686.1, CEF87021.1, CEF88117.1, SCB64624.1	XP_959923.2	XP_009853484.1
OG0000087	CEF73674.1, CEF74027.1, CEF79773.1, CEF79837.1, CEF86653.1, CEF86870.1, CEF86939.1, SCB65698.1	XP_963752.1	XP_009855098.1
OG0000088	CEF73706.1, CEF73847.1, CEF74683.1, CEF76043.1, CEF77518.1, CEF85614.1, SCB65316.1, SCB65318.1	XP_963286.1	XP_009851779.1
OG0000089	CEF71820.1, CEF73833.1, CEF74899.1, CEF76674.1, CEF77629.1, CEF77992.1, CEF78253.1, CEF84749.1, CEF85853.1, CEF88576.1		
OG0000090	CEF71851.1, CEF72158.1, CEF76525.1, CEF77647.1, CEF77767.1, CEF78528.1, CEF83691.1, CEF88192.1, CEF88331.1, SCB64600.1		
OG0000091	CEF71879.1, CEF74944.1, CEF76431.1, CEF77654.1, CEF82983.1, CEF83703.1, CEF84775.1, CEF85697.1, CEF87238.1, CEF87933.1		
OG0000092	CEF72091.1, CEF76282.1, CEF79456.1, CEF79671.1, CEF84362.1, CEF85675.1, CEF88236.1, SCB64425.1	XP_958515.2	XP_009850369.1
OG0000093	CEF73028.1, CEF73029.1, CEF77041.1, CEF77273.1, CEF83782.1, CEF83924.1, CEF85524.1, CEF85967.1, CEF86702.1, CEF88140.1		
OG0000094	CEF73771.1, CEF77859.1, CEF78298.1, CEF78806.1, CEF79437.1, CEF83500.1, CEF84182.1, CEF87943.1, CEF88647.1	XP_011394166.1	
OG0000095	CEF74300.1, CEF76086.1, CEF76697.1, CEF86989.1, SCB64300.1, SCB65363.1, SCB65417.1	XP_011394990.1, XP_011394991.1	XP_009854605.1
OG0000096	CEF74355.1, CEF78033.1, CEF78096.1, CEF78725.1, CEF78986.1, CEF85841.1, CEF86000.1, CEF87451.1	XP_001727984.2	XP_009851720.1
OG0000097	CEF74418.1, CEF75978.1, CEF76485.1, CEF78785.1, CEF85438.1, CEF87429.1, CEF88357.1, SCB65521.1	XP_962681.2	XP_009849736.1
OG0000098	CEF74642.1, CEF76285.1, CEF76495.1, CEF79653.1, CEF82816.1, CEF85113.1, CEF85568.1, CEF87392.1, CEF87936.1, SCB64985.1		
OG0000099	CEF74751.1, CEF75805.1, CEF76927.1, CEF84644.1	XP_956238.2, XP_961004.1, XP_961705.1	XP_009847836.1, XP_009848140.1, XP_009850217.1
OG0000100	CEF75673.1, CEF76235.1, CEF76404.1, CEF77770.1, CEF79704.1, CEF85073.1	XP_961650.3, XP_963903.3	XP_009848186.1, XP_009855872.1
OG0000101	CEF76450.1, CEF78820.1, CEF79688.1, CEF83184.1, CEF83509.1, CEF87420.1, CEF87629.1	XP_011394265.1, XP_011394266.1	XP_009849323.1
OG0000102	CEF77958.1, CEF78618.1, CEF78651.1, CEF85460.1, CEF87701.1, SCB64215.1, SCB64548.1, SCB65209.1	XP_964064.3	XP_009856458.1
OG0000103		XP_956063.2, XP_956070.1, XP_956072.2, XP_956073.1	XP_009853881.1, XP_009853896.1, XP_009854747.1, XP_009854749.1, XP_009854755.1, XP_009854756.1
OG0000104		XP_957946.2, XP_959330.1, XP_959331.1, XP_959332.1, XP_959333.1, XP_959334.1, XP_959335.1	XP_009850296.1, XP_009851415.1, XP_009851434.1
OG0000105	CEF72000.1, CEF74663.1, CEF77702.1, CEF83206.1, CEF85100.1, CEF86670.1, CEF86707.1, CEF86775.1, CEF87877.1		
OG0000106	CEF75685.1, CEF78716.1, CEF84628.1, CEF85315.1, CEF86146.1, SCB64543.1, SCB65812.1	XP_960810.1	XP_009847213.1
OG0000107	CEF73703.1, CEF77507.1, CEF77925.1, CEF78683.1, CEF78853.1, CEF79795.1, CEF86392.1, CEF87703.1		XP_009852299.1
OG0000108	CEF75924.1, CEF76092.1, CEF76195.1, CEF76197.1, CEF83294.1, CEF85670.1, CEF87403.1, CEF87775.1		XP_009857287.1
OG0000109	CEF72160.1, CEF73261.1, CEF75092.1, CEF75765.1, CEF79292.1, SCB64815.1, SCB65008.1	XP_963739.1	XP_009857352.1
OG0000110	CEF72870.1, CEF76138.1, CEF78838.1, CEF79157.1, CEF85078.1	XP_011392861.1, XP_011392862.1, XP_011392863.1	XP_009855806.1
OG0000111	CEF73741.1, CEF77959.1, CEF78692.1, CEF86619.1, CEF87042.1	XP_959656.1, XP_964437.2	XP_009849285.1, XP_009853608.1
OG0000112	CEF84791.1, CEF87434.1, CEF88462.1, SCB63993.1, SCB64967.1, SCB65461.1, SCB65463.1, SCB65711.1, SCB65745.1		
OG0000113	CEF73970.1, CEF78164.1, CEF78290.1, CEF78466.1, CEF78598.1, CEF86231.1, CEF88560.1	XP_960108.2	XP_009854175.1
OG0000114	CEF73994.1, CEF74681.1, CEF76280.1, CEF78881.1, CEF83540.1, CEF84728.1, CEF87294.1	XP_961264.1	XP_009847251.1
OG0000115	CEF74754.1, CEF77730.1, CEF77918.1, CEF83124.1, CEF83344.1, CEF86671.1, CEF86706.1	XP_959648.1	XP_009853599.1
OG0000116	CEF74460.1, CEF78545.1, CEF79735.1, CEF86254.1, CEF86346.1	XP_958368.1, XP_958583.1	XP_009851370.1, XP_009854634.1
OG0000117	CEF71968.1, CEF72492.1, CEF76040.1, CEF83668.1, CEF84403.1, CEF86957.1, CEF86985.1	XP_957314.2	XP_009850249.1
