fg,nc,nt
FGRAMPH1_01T01387,NCU03245,NEUTE1DRAFT_105548
FGRAMPH1_01T01389,NCU09315,NEUTE1DRAFT_150259
FGRAMPH1_01T01393,NCU09316,NEUTE1DRAFT_72774
FGRAMPH1_01T01397,NCU09317,NEUTE1DRAFT_72776
FGRAMPH1_01T01399,NCU09318,NEUTE1DRAFT_114701
FGRAMPH1_01T01401,NCU08676,NEUTE1DRAFT_116569
FGRAMPH1_01T01403,NCU08603,NEUTE1DRAFT_119315
FGRAMPH1_01T01407,NCU08600,NEUTE1DRAFT_93392
FGRAMPH1_01T01411,NCU08599,NEUTE1DRAFT_93389
FGRAMPH1_01T01417,NCU02530,NEUTE1DRAFT_126526
FGRAMPH1_01T01425,NCU02838,NEUTE1DRAFT_89649
FGRAMPH1_01T01427,NCU09816,NEUTE1DRAFT_72823
FGRAMPH1_01T01429,NCU03207,NEUTE1DRAFT_72406
FGRAMPH1_01T01431,NCU02492,NEUTE1DRAFT_92264
FGRAMPH1_01T01435,NCU02497,NEUTE1DRAFT_150557
FGRAMPH1_01T01439,NCU02496,NEUTE1DRAFT_126555
FGRAMPH1_01T01441,NCU02495,NEUTE1DRAFT_126556
FGRAMPH1_01T01443,NCU02494,NEUTE1DRAFT_92256
FGRAMPH1_01T01445,NCU02499,NEUTE1DRAFT_73545
FGRAMPH1_01T01463,NCU08650,NEUTE1DRAFT_39282
FGRAMPH1_01T01469,NCU08602,NEUTE1DRAFT_74692
FGRAMPH1_01T01475,NCU07285,NEUTE1DRAFT_109155
FGRAMPH1_01T01483,NCU09252,NEUTE1DRAFT_126972
FGRAMPH1_01T01485,NCU09215,NEUTE1DRAFT_125852
FGRAMPH1_01T01497,NCU00954,NEUTE1DRAFT_90214
FGRAMPH1_01T01499,NCU07962,NEUTE1DRAFT_116257
FGRAMPH1_01T01501,NCU00519,NEUTE1DRAFT_133863
FGRAMPH1_01T01503,NCU00520,NEUTE1DRAFT_74127
FGRAMPH1_01T01505,NCU07283,NEUTE1DRAFT_61299
FGRAMPH1_01T01507,NCU07282,NEUTE1DRAFT_99832
FGRAMPH1_01T01527,NCU07297,NEUTE1DRAFT_61273
FGRAMPH1_01T01533,NCU07300,NEUTE1DRAFT_128971
FGRAMPH1_01T01549,NCU02781,NEUTE1DRAFT_119285
FGRAMPH1_01T01553,NCU02779,NEUTE1DRAFT_93219
FGRAMPH1_01T01561,NCU09259,NEUTE1DRAFT_93314
FGRAMPH1_01T01563,NCU02669,NEUTE1DRAFT_73170
FGRAMPH1_01T01565,NCU02664,NEUTE1DRAFT_73180
FGRAMPH1_01T01567,NCU03058,NEUTE1DRAFT_72741
FGRAMPH1_01T01569,NCU02049,NEUTE1DRAFT_70661
FGRAMPH1_01T01577,NCU00828,NEUTE1DRAFT_125616
FGRAMPH1_01T01579,NCU07361,NEUTE1DRAFT_125779
FGRAMPH1_01T01591,NCU03362,NEUTE1DRAFT_117529
FGRAMPH1_01T01593,NCU03361,NEUTE1DRAFT_123333
FGRAMPH1_01T01597,NCU08500,NEUTE1DRAFT_95158
FGRAMPH1_01T01603,NCU08502,NEUTE1DRAFT_117255
FGRAMPH1_01T01605,NCU01746,NEUTE1DRAFT_117371
FGRAMPH1_01T01609,NCU08515,NEUTE1DRAFT_117258
FGRAMPH1_01T01611,NCU05419,NEUTE1DRAFT_147370
FGRAMPH1_01T01625,NCU03560,NEUTE1DRAFT_130844
FGRAMPH1_01T01627,NCU03561,NEUTE1DRAFT_117596
FGRAMPH1_01T01631,NCU01799,NEUTE1DRAFT_18544
FGRAMPH1_01T01637,NCU01801,NEUTE1DRAFT_130500
FGRAMPH1_01T01639,NCU01802,NEUTE1DRAFT_147218
FGRAMPH1_01T01645,NCU01780,NEUTE1DRAFT_101848
FGRAMPH1_01T01647,NCU01779,NEUTE1DRAFT_32406
FGRAMPH1_01T01653,NCU00644,NEUTE1DRAFT_119251
FGRAMPH1_01T01659,NCU02615,NEUTE1DRAFT_91976
FGRAMPH1_01T01667,NCU02621,NEUTE1DRAFT_126435
FGRAMPH1_01T01679,NCU02618,NEUTE1DRAFT_119044
FGRAMPH1_01T01689,NCU03211,NEUTE1DRAFT_72400
FGRAMPH1_01T01693,NCU03103,NEUTE1DRAFT_91328
FGRAMPH1_01T01699,NCU03105,NEUTE1DRAFT_91324
FGRAMPH1_01T01701,NCU03111,NEUTE1DRAFT_150199
FGRAMPH1_01T01703,NCU03106,NEUTE1DRAFT_91322
FGRAMPH1_01T01707,NCU03123,NEUTE1DRAFT_133294
FGRAMPH1_01T01709,NCU03122,NEUTE1DRAFT_91283
FGRAMPH1_01T01719,NCU02589,NEUTE1DRAFT_92023
FGRAMPH1_01T01727,NCU00894,NEUTE1DRAFT_132863
FGRAMPH1_01T01735,NCU00929,NEUTE1DRAFT_90158
FGRAMPH1_01T01739,NCU00921,NEUTE1DRAFT_132883
FGRAMPH1_01T01749,NCU00924,NEUTE1DRAFT_90147
FGRAMPH1_01T01751,NCU00925,NEUTE1DRAFT_149748
FGRAMPH1_01T01753,NCU00926,NEUTE1DRAFT_105153
FGRAMPH1_01T01757,NCU00900,NEUTE1DRAFT_149727
FGRAMPH1_01T01765,NCU00913,NEUTE1DRAFT_125678
FGRAMPH1_01T01767,NCU00912,NEUTE1DRAFT_90117
FGRAMPH1_01T01779,NCU00906,NEUTE1DRAFT_142047
FGRAMPH1_01T01783,NCU00917,NEUTE1DRAFT_90130
FGRAMPH1_01T01791,NCU00928,NEUTE1DRAFT_90155
FGRAMPH1_01T01813,NCU00898,NEUTE1DRAFT_132866
FGRAMPH1_01T01815,NCU00897,NEUTE1DRAFT_71398
FGRAMPH1_01T01817,NCU00930,NEUTE1DRAFT_90162
FGRAMPH1_01T01827,NCU02092,NEUTE1DRAFT_125320
FGRAMPH1_01T01829,NCU02091,NEUTE1DRAFT_70571
FGRAMPH1_01T01831,NCU02090,NEUTE1DRAFT_55736
FGRAMPH1_01T01833,NCU02089,NEUTE1DRAFT_125324
FGRAMPH1_01T01835,NCU02070,NEUTE1DRAFT_70608
FGRAMPH1_01T01839,NCU03128,NEUTE1DRAFT_91270
FGRAMPH1_01T01851,NCU02548,NEUTE1DRAFT_119080
FGRAMPH1_01T01853,NCU02284,NEUTE1DRAFT_86208
FGRAMPH1_01T01859,NCU08355,NEUTE1DRAFT_149942
FGRAMPH1_01T01867,NCU02057,NEUTE1DRAFT_89323
FGRAMPH1_01T01875,NCU07383,NEUTE1DRAFT_90398
FGRAMPH1_01T01877,NCU03032,NEUTE1DRAFT_150750
FGRAMPH1_01T01879,NCU03031,NEUTE1DRAFT_119188
FGRAMPH1_01T01881,NCU03030,NEUTE1DRAFT_92721
FGRAMPH1_01T01883,NCU03029,NEUTE1DRAFT_126743
FGRAMPH1_01T01887,NCU11325,NEUTE1DRAFT_90626
FGRAMPH1_01T01889,NCU16337,NEUTE1DRAFT_55615
FGRAMPH1_01T01895,NCU03130,NEUTE1DRAFT_72572
FGRAMPH1_01T01899,NCU09877,NEUTE1DRAFT_71612
FGRAMPH1_01T01901,NCU09878,NEUTE1DRAFT_71615
FGRAMPH1_01T01911,NCU09879,NEUTE1DRAFT_149812
FGRAMPH1_01T01955,NCU00727,NEUTE1DRAFT_89784
FGRAMPH1_01T01961,NCU00823,NEUTE1DRAFT_118616
FGRAMPH1_01T01989,NCU02885,NEUTE1DRAFT_73768
FGRAMPH1_01T01993,NCU08633,NEUTE1DRAFT_127028
FGRAMPH1_01T01997,NCU08637,NEUTE1DRAFT_151034
FGRAMPH1_01T01999,NCU08626,NEUTE1DRAFT_151026
FGRAMPH1_01T02001,NCU08627,NEUTE1DRAFT_97253
FGRAMPH1_01T02003,NCU08628,NEUTE1DRAFT_127024
FGRAMPH1_01T02013,NCU02898,NEUTE1DRAFT_92484
FGRAMPH1_01T02015,NCU02899,NEUTE1DRAFT_92486
FGRAMPH1_01T02039,NCU10028,NEUTE1DRAFT_119334
FGRAMPH1_01T02047,NCU03462,NEUTE1DRAFT_130778
FGRAMPH1_01T02049,NCU03463,NEUTE1DRAFT_65999
FGRAMPH1_01T02053,NCU03480,NEUTE1DRAFT_123417
FGRAMPH1_01T02061,NCU03438,NEUTE1DRAFT_117555
FGRAMPH1_01T02063,NCU03439,NEUTE1DRAFT_84650
FGRAMPH1_01T02067,NCU03579,NEUTE1DRAFT_147592
FGRAMPH1_01T02069,NCU01805,NEUTE1DRAFT_65269
FGRAMPH1_01T02071,NCU01599,NEUTE1DRAFT_64926
FGRAMPH1_01T02075,NCU03555,NEUTE1DRAFT_84842
FGRAMPH1_01T02083,NCU09600,NEUTE1DRAFT_44886
FGRAMPH1_01T02085,NCU09610,NEUTE1DRAFT_66248
FGRAMPH1_01T02087,NCU09608,NEUTE1DRAFT_123501
FGRAMPH1_01T02089,NCU09609,NEUTE1DRAFT_130870
FGRAMPH1_01T02091,NCU09598,NEUTE1DRAFT_66226
FGRAMPH1_01T02093,NCU09599,NEUTE1DRAFT_84914
FGRAMPH1_01T02115,NCU01776,NEUTE1DRAFT_117386
FGRAMPH1_01T02119,NCU01777,NEUTE1DRAFT_130481
FGRAMPH1_01T02121,NCU02598,NEUTE1DRAFT_96978
FGRAMPH1_01T02123,NCU07492,NEUTE1DRAFT_149218
FGRAMPH1_01T02137,NCU07494,NEUTE1DRAFT_149216
FGRAMPH1_01T02145,NCU00935,NEUTE1DRAFT_142075
FGRAMPH1_01T02151,NCU00932,NEUTE1DRAFT_149754
FGRAMPH1_01T02153,NCU06038,NEUTE1DRAFT_117788
FGRAMPH1_01T02157,NCU06037,NEUTE1DRAFT_102894
FGRAMPH1_01T02161,NCU03117,NEUTE1DRAFT_91296
FGRAMPH1_01T02163,NCU02550,NEUTE1DRAFT_92118
FGRAMPH1_01T02165,NCU02549,NEUTE1DRAFT_119079
FGRAMPH1_01T02167,NCU03138,NEUTE1DRAFT_17445
FGRAMPH1_01T02169,NCU03137,NEUTE1DRAFT_133281
FGRAMPH1_01T02171,NCU03139,NEUTE1DRAFT_150173
FGRAMPH1_01T02177,NCU03136,NEUTE1DRAFT_150176
FGRAMPH1_01T02179,NCU03024,NEUTE1DRAFT_126741
FGRAMPH1_01T02181,NCU08352,NEUTE1DRAFT_90624
FGRAMPH1_01T02183,NCU02109,NEUTE1DRAFT_70531
FGRAMPH1_01T02193,NCU00919,NEUTE1DRAFT_71440
FGRAMPH1_01T02203,NCU02554,NEUTE1DRAFT_73413
FGRAMPH1_01T02205,NCU02553,NEUTE1DRAFT_92112
FGRAMPH1_01T02215,NCU02613,NEUTE1DRAFT_150451
FGRAMPH1_01T02219,NCU02612,NEUTE1DRAFT_91980
FGRAMPH1_01T02221,NCU02611,NEUTE1DRAFT_73283
FGRAMPH1_01T02223,NCU02610,NEUTE1DRAFT_96970
FGRAMPH1_01T02233,NCU02609,NEUTE1DRAFT_73285
FGRAMPH1_01T02247,NCU02605,NEUTE1DRAFT_119050
FGRAMPH1_01T02249,NCU02604,NEUTE1DRAFT_126452
FGRAMPH1_01T02257,NCU02601,NEUTE1DRAFT_150461
FGRAMPH1_01T02261,NCU02599,NEUTE1DRAFT_119053
FGRAMPH1_01T02271,NCU02563,NEUTE1DRAFT_73389
FGRAMPH1_01T02275,NCU10893,NEUTE1DRAFT_53084
FGRAMPH1_01T02277,NCU02565,NEUTE1DRAFT_55008
FGRAMPH1_01T02279,NCU02566,NEUTE1DRAFT_126487
FGRAMPH1_01T02281,NCU02567,NEUTE1DRAFT_126486
FGRAMPH1_01T02283,NCU02568,NEUTE1DRAFT_92073
FGRAMPH1_01T02285,NCU10789,NEUTE1DRAFT_126483
FGRAMPH1_01T02287,NCU07481,NEUTE1DRAFT_149225
FGRAMPH1_01T02291,NCU07482,NEUTE1DRAFT_88874
FGRAMPH1_01T02295,NCU02106,NEUTE1DRAFT_132525
FGRAMPH1_01T02297,NCU02105,NEUTE1DRAFT_70540
FGRAMPH1_01T02299,NCU02104,NEUTE1DRAFT_51014
FGRAMPH1_01T02323,NCU08349,NEUTE1DRAFT_55885
FGRAMPH1_01T02325,NCU08348,NEUTE1DRAFT_149936
FGRAMPH1_01T02327,NCU08347,NEUTE1DRAFT_125892
FGRAMPH1_01T02341,NCU03113,NEUTE1DRAFT_150197
FGRAMPH1_01T02345,NCU03114,NEUTE1DRAFT_91302
FGRAMPH1_01T02349,NCU03115,NEUTE1DRAFT_91301
FGRAMPH1_01T02357,NCU02561,NEUTE1DRAFT_150498
FGRAMPH1_01T02391,NCU02459,NEUTE1DRAFT_131235
FGRAMPH1_01T02397,NCU02461,NEUTE1DRAFT_85843
FGRAMPH1_01T02403,NCU08354,NEUTE1DRAFT_71941
FGRAMPH1_01T02405,NCU08353,NEUTE1DRAFT_125898
FGRAMPH1_01T02409,NCU06774,NEUTE1DRAFT_65464
FGRAMPH1_01T02411,NCU06758,NEUTE1DRAFT_84111
FGRAMPH1_01T02413,NCU09482,NEUTE1DRAFT_130129
FGRAMPH1_01T02415,NCU09757,NEUTE1DRAFT_146852
FGRAMPH1_01T02417,NCU09756,NEUTE1DRAFT_83030
FGRAMPH1_01T02419,NCU09755,NEUTE1DRAFT_64351
FGRAMPH1_01T02423,NCU03410,NEUTE1DRAFT_147478
FGRAMPH1_01T02431,NCU10658,NEUTE1DRAFT_71668
FGRAMPH1_01T02433,NCU02629,NEUTE1DRAFT_119037
FGRAMPH1_01T02435,NCU00517,NEUTE1DRAFT_126784
FGRAMPH1_01T02439,NCU03041,NEUTE1DRAFT_133837
FGRAMPH1_01T02445,NCU10529,NEUTE1DRAFT_125490
FGRAMPH1_01T02447,NCU07359,NEUTE1DRAFT_125776
FGRAMPH1_01T02449,NCU07358,NEUTE1DRAFT_125775
FGRAMPH1_01T02465,NCU08612,NEUTE1DRAFT_127012
FGRAMPH1_01T02469,NCU08610,NEUTE1DRAFT_93417
FGRAMPH1_01T02471,NCU07450,NEUTE1DRAFT_88941
FGRAMPH1_01T02473,NCU04423,NEUTE1DRAFT_145403
FGRAMPH1_01T02483,NCU05598,NEUTE1DRAFT_118112
FGRAMPH1_01T02487,NCU04425,NEUTE1DRAFT_128781
FGRAMPH1_01T02495,NCU03088,NEUTE1DRAFT_91362
FGRAMPH1_01T02497,NCU03089,NEUTE1DRAFT_126188
FGRAMPH1_01T02499,NCU03094,NEUTE1DRAFT_51840
FGRAMPH1_01T02501,NCU03093,NEUTE1DRAFT_118902
FGRAMPH1_01T02505,NCU03091,NEUTE1DRAFT_150216
FGRAMPH1_01T02513,NCU03095,NEUTE1DRAFT_91347
FGRAMPH1_01T02515,NCU02625,NEUTE1DRAFT_91950
FGRAMPH1_01T02525,NCU02632,NEUTE1DRAFT_73236
FGRAMPH1_01T02527,NCU02631,NEUTE1DRAFT_91937
FGRAMPH1_01T02529,NCU06035,NEUTE1DRAFT_67116
FGRAMPH1_01T02531,NCU02634,NEUTE1DRAFT_119035
FGRAMPH1_01T02533,NCU02633,NEUTE1DRAFT_133528
FGRAMPH1_01T02549,NCU02707,NEUTE1DRAFT_119009
FGRAMPH1_01T02555,NCU02704,NEUTE1DRAFT_91800
FGRAMPH1_01T02557,NCU02705,NEUTE1DRAFT_126363
FGRAMPH1_01T02559,NCU02706,NEUTE1DRAFT_91795
FGRAMPH1_01T02561,NCU10498,NEUTE1DRAFT_119008
FGRAMPH1_01T02571,NCU07364,NEUTE1DRAFT_90370
FGRAMPH1_01T02577,NCU07360,NEUTE1DRAFT_52204
FGRAMPH1_01T02579,NCU03021,NEUTE1DRAFT_92702
FGRAMPH1_01T02583,NCU02801,NEUTE1DRAFT_119277
FGRAMPH1_01T02587,NCU07403,NEUTE1DRAFT_90437
FGRAMPH1_01T02593,NCU02054,NEUTE1DRAFT_70649
FGRAMPH1_01T02599,NCU07385,NEUTE1DRAFT_105279
FGRAMPH1_01T02603,NCU02790,NEUTE1DRAFT_93246
FGRAMPH1_01T02605,NCU02791,NEUTE1DRAFT_19417
FGRAMPH1_01T02607,NCU10282,NEUTE1DRAFT_126942
FGRAMPH1_01T02611,NCU00506,NEUTE1DRAFT_133856
FGRAMPH1_01T02615,NCU00509,NEUTE1DRAFT_106392
FGRAMPH1_01T02617,NCU00512,NEUTE1DRAFT_74112
FGRAMPH1_01T02629,NCU02770,NEUTE1DRAFT_93267
FGRAMPH1_01T02631,NCU09240,NEUTE1DRAFT_150992
FGRAMPH1_01T02633,NCU09239,NEUTE1DRAFT_126986
FGRAMPH1_01T02635,NCU10351,NEUTE1DRAFT_93356
FGRAMPH1_01T02637,NCU09238,NEUTE1DRAFT_150996
FGRAMPH1_01T02643,NCU03243,NEUTE1DRAFT_72320
FGRAMPH1_01T02653,NCU03239,NEUTE1DRAFT_91019
FGRAMPH1_01T02659,NCU03237,NEUTE1DRAFT_126056
FGRAMPH1_01T02667,NCU02526,NEUTE1DRAFT_119092
FGRAMPH1_01T02669,NCU02513,NEUTE1DRAFT_126541
FGRAMPH1_01T02681,NCU05502,NEUTE1DRAFT_148701
FGRAMPH1_01T02695,NCU02514,NEUTE1DRAFT_126540
FGRAMPH1_01T02707,NCU07982,NEUTE1DRAFT_121277
FGRAMPH1_01T02713,NCU02512,NEUTE1DRAFT_133634
FGRAMPH1_01T02731,NCU03289,NEUTE1DRAFT_133163
